ident;lat;long;y_proj;x_proj
1.1.1-1; ; ;-1.516416327;20763369.87
1.1.1-1;-16.39111194;-71.5286708;-1940253.048;2839291.489
1.1.1-1;-16.39108462;-71.52840592;-1940253.175;2839321.881
1.1.1-1;-16.39106808;-71.52814913;-1940254.467;2839351.215
1.1.1-1;-16.3910174;-71.52796255;-1940250.864;2839373.035
1.1.1-1;-16.39065178;-71.52820615;-1940204.846;2839350.182
1.1.1-1;-16.39091394;-71.52850009;-1940231.938;2839313.43
1.1.1-2; ; ;-1.516416327;20763369.87
1.1.1-2;-16.39074651;-71.52789206;-1940219.929;2839384.562
1.1.1-2;-16.39071414;-71.52782256;-1940217.003;2839392.866
1.1.1-2;-16.3906619;-71.52763743;-1940213.199;2839414.541
1.1.1-2;-16.39057609;-71.52751025;-1940204.72;2839430.083
1.1.1-2;-16.39035513;-71.52719605;-1940182.723;2839468.595
1.1.1-2;-16.39021109;-71.52687238;-1940169.879;2839507.178
1.1.1-2;-16.39006087;-71.52655829;-1940156.189;2839544.755
1.1.1-2;-16.38996888;-71.52660747;-1940144.764;2839540.379
1.1.1-2;-16.3901635;-71.52691984;-1940163.691;2839502.416
1.1.1-2;-16.3901875;-71.52697632;-1940165.798;2839495.699
1.1.1-2;-16.39013934;-71.52703565;-1940159.394;2839489.6
1.1.1-2;-16.39010133;-71.52696406;-1940155.831;2839498.214
1.1.1-2;-16.39013258;-71.52693913;-1940159.816;2839500.633
1.1.1-2;-16.39006661;-71.52685664;-1940153.105;2839510.848
1.1.1-2;-16.38994272;-71.52661823;-1940141.554;2839539.5
1.1.1-2;-16.38983293;-71.52668394;-1940127.83;2839533.481
1.1.1-2;-16.38969312;-71.52692142;-1940108.414;2839508.376
1.1.1-2;-16.38978946;-71.52708304;-1940117.695;2839488.791
1.1.1-2;-16.39002626;-71.52738374;-1940141.725;2839451.603
1.1.1-2;-16.39029651;-71.52777705;-1940168.517;2839403.477
1.1.1-2;-16.39060722;-71.52818708;-1940199.851;2839352.926
1.1.1-2;-16.39085299;-71.52801875;-1940230.842;2839368.807
1.1.1-3; ; ;-1.516416327;20763369.87
1.1.1-3;-16.38991676;-71.52616223;-1940144.25;2839591.547
1.1.1-3;-16.38985945;-71.52552113;-1940145.594;2839664.994
1.1.1-3;-16.38983903;-71.5246919;-1940153.642;2839759.294
1.1.1-3;-16.38966049;-71.52436612;-1940136.773;2839798.567
1.1.1-3;-16.38901417;-71.52357222;-1940070.85;2839897.03
1.1.1-3;-16.38883879;-71.52372493;-1940048.324;2839882.002
1.1.1-3;-16.3896196;-71.52475073;-1940127.124;2839755.486
1.1.1-3;-16.38954301;-71.52504507;-1940114.419;2839723.108
1.1.1-3;-16.38954648;-71.5252635;-1940112.074;2839698.294
1.1.1-3;-16.38962959;-71.52552699;-1940118.518;2839667.33
1.1.1-3;-16.38976591;-71.52595136;-1940129.186;2839617.428
1.1.1-3;-16.389862;-71.52616222;-1940137.817;2839592.263
1.1.1-3;-16.38992912;-71.5264968;-1940141.487;2839553.447
1.1.1-3;-16.38996409;-71.52650563;-1940145.484;2839551.989
1.1.1-4; ; ;-1.516416327;20763369.87
1.1.1-4;-16.38910881;-71.52416749;-1940074.468;2839828.292
1.1.1-4;-16.38882344;-71.52376051;-1940046.072;2839878.167
1.1.1-4;-16.38840345;-71.52408941;-1939992.59;2839846.352
1.1.1-4;-16.38862081;-71.52435785;-1940014.742;2839813.074
1.1.1-4;-16.38901836;-71.52485581;-1940055.171;2839751.417
1.1.1-4;-16.38939277;-71.52455438;-1940102.951;2839780.713
1.1.1-5; ; ;-1.516416327;20763369.87
1.1.1-5;-16.38989371;-71.52653041;-1940136.904;2839550.097
1.1.1-5;-16.38989071;-71.52639132;-1940138.303;2839565.909
1.1.1-5;-16.3898433;-71.5261588;-1940135.663;2839592.895
1.1.1-5;-16.38973905;-71.52594207;-1940126.148;2839618.832
1.1.1-5;-16.38965015;-71.52568427;-1940118.952;2839649.226
1.1.1-5;-16.38957305;-71.52541844;-1940113.244;2839680.376
1.1.1-5;-16.38951791;-71.52523981;-1940109.017;2839701.353
1.1.1-5;-16.38951296;-71.52506018;-1940110.698;2839721.787
1.1.1-5;-16.38955756;-71.52485362;-1940118.54;2839744.628
1.1.1-5;-16.38958151;-71.52475927;-1940122.542;2839755.016
1.1.1-5;-16.38946847;-71.52458702;-1940111.433;2839776.023
1.1.1-5;-16.38901064;-71.52497221;-1940052.797;2839738.319
1.1.1-5;-16.38925193;-71.52548695;-1940074.657;2839676.799
1.1.1-5;-16.38937723;-71.52579622;-1940085.481;2839640.093
1.1.1-5;-16.38943854;-71.52599511;-1940090.178;2839616.74
1.1.1-5;-16.38960389;-71.52638539;-1940104.685;2839570.324
1.1.1-5;-16.38972363;-71.5264295;-1940118.195;2839563.76
1.1.1-5;-16.38983705;-71.52656109;-1940129.861;2839547.358
1.1.1-6; ; ;-1.516416327;20763369.87
1.1.1-6;-16.38951333;-71.52638853;-1940094.008;2839571.15
1.1.1-6;-16.38955693;-71.52637481;-1940099.302;2839572.137
1.1.1-6;-16.38945685;-71.52612497;-1940090.693;2839601.775
1.1.1-6;-16.38933244;-71.52582832;-1940079.815;2839637.038
1.1.1-6;-16.38925212;-71.52563228;-1940072.849;2839660.317
1.1.1-6;-16.38918746;-71.52546471;-1940067.365;2839680.162
1.1.1-6;-16.38914522;-71.52536225;-1940063.693;2839692.333
1.1.1-6;-16.3890369;-71.52511125;-1940054.131;2839722.209
1.1.1-6;-16.38898138;-71.5249824;-1940049.232;2839737.545
1.1.1-6;-16.38854057;-71.52534989;-1939992.819;2839701.625
1.1.1-6;-16.388961;-71.52593449;-1940034.844;2839629.846
1.1.1-6;-16.38915454;-71.52621264;-1940054.075;2839595.778
1.1.1-6;-16.38937228;-71.52650051;-1940076.027;2839560.292
1.1.1-7; ; ;-1.516416327;20763369.87
1.1.1-7;-16.38883978;-71.52477504;-1940035.21;2839762.907
1.1.1-7;-16.38862232;-71.52450683;-1940013.044;2839796.16
1.1.1-7;-16.38835649;-71.52412719;-1939986.598;2839842.681
1.1.1-7;-16.38789603;-71.52451211;-1939927.657;2839805.039
1.1.1-7;-16.38814615;-71.52482175;-1939953.138;2839766.662
1.1.1-7;-16.38846708;-71.52528313;-1939985.027;2839710.154
1.1.1-7;-16.38894316;-71.52492012;-1940045.527;2839745.106
1.1.1-8; ; ;-1.516416327;20763369.87
1.1.1-8;-16.38816339;-71.52386961;-1939967.159;2839874.409
1.1.1-8;-16.38783704;-71.52348496;-1939933.667;2839922.289
1.1.1-8;-16.38734734;-71.52280604;-1939884.693;2840005.67
1.1.1-8;-16.38691581;-71.52313708;-1939829.829;2839973.761
1.1.1-8;-16.38707966;-71.52335039;-1939846.39;2839947.433
1.1.1-8;-16.3874019;-71.52381813;-1939878.353;2839890.185
1.1.1-8;-16.38783949;-71.52443228;-1939922.02;2839814.83
1.1.1-8;-16.38831082;-71.52404842;-1939982.226;2839852.209
1.1.1-9; ; ;-1.516416327;20763369.87
1.1.1-9;-16.38833684;-71.52329848;-1939994.73;2839936.912
1.1.1-9;-16.38809226;-71.52308135;-1939968.734;2839964.727
1.1.1-9;-16.38766713;-71.52254074;-1939925.603;2840031.582
1.1.1-9;-16.38740119;-71.52274305;-1939891.812;2840012.109
1.1.1-9;-16.38765674;-71.52308154;-1939917.569;2839970.39
1.1.1-9;-16.38797499;-71.52352665;-1939949.348;2839915.761
1.1.1-9;-16.38837286;-71.52398704;-1939990.287;2839858.359
1.1.1-9;-16.38874236;-71.52372287;-1940037.021;2839883.494
1.1.1-10; ; ;-1.516416327;20763369.87
1.1.1-10;-16.38749055;-71.52234667;-1939907.304;2840055.893
1.1.1-10;-16.38709596;-71.52188112;-1939866.816;2840113.837
1.1.1-10;-16.38637592;-71.52241037;-1939775.561;2840063.217
1.1.1-10;-16.38659181;-71.52270564;-1939797.203;2840026.915
1.1.1-10;-16.38684441;-71.52306398;-1939822.363;2839982.982
1.1.1-10;-16.38762154;-71.52247797;-1939921.038;2840039.294
1.1.1-11; ; ;-1.516416327;20763369.87
1.1.1-11;-16.38846727;-71.52293231;-1940014.666;2839976.734
1.1.1-11;-16.38818438;-71.52248478;-1939987.071;2840031.176
1.1.1-11;-16.38795821;-71.52225521;-1939963.395;2840060.161
1.1.1-11;-16.3876043;-71.52204523;-1939924.465;2840088.592
