ident;lat;long;y_proj;x_proj
1.5.1-1; ; ;-1.516416327;20763369.87
1.5.1-1;-16.48262875;-71.46878107;-1951762.2;2844882.316
1.5.1-1;-16.48264968;-71.46885912;-1951763.668;2844873.192
1.5.1-1;-16.482703;-71.46883378;-1951770.254;2844875.363
1.5.1-1;-16.48280451;-71.4687978;-1951782.638;2844878.106
1.5.1-1;-16.48308173;-71.46890682;-1951813.826;2844862.098
1.5.1-1;-16.4833263;-71.46840488;-1951848.937;2844915.78
1.5.1-1;-16.48356571;-71.46785783;-1951884.015;2844974.644
1.5.1-1;-16.48362378;-71.46765595;-1951893.402;2844996.766
1.5.1-1;-16.48360172;-71.46755011;-1951892.154;2845009.055
1.5.1-1;-16.4835413;-71.46745334;-1951886.284;2845020.821
1.5.1-1;-16.48330716;-71.46731667;-1951860.51;2845039.396
1.5.1-1;-16.48299722;-71.46711642;-1951826.637;2845066.179
1.5.1-1;-16.48283219;-71.46720326;-1951806.143;2845058.506
1.5.1-1;-16.48308156;-71.46740815;-1951832.841;2845031.997
1.5.1-1;-16.48333853;-71.46758684;-1951860.764;2845008.356
1.5.1-1;-16.4834132;-71.46768424;-1951868.3;2844996.331
1.5.1-1;-16.4834231;-71.46776821;-1951868.397;2844986.682
1.5.1-1;-16.48329482;-71.46799378;-1951850.46;2844962.799
1.5.1-1;-16.48292516;-71.46858208;-1951799.554;2844900.972
1.5.1-1;-16.48284601;-71.46856633;-1951790.455;2844903.8
1.5.1-1;-16.48267246;-71.46853948;-1951770.404;2844909.128
1.5.1-2; ; ;-1.516416327;20763369.87
1.5.1-2;-16.48048154;-71.47195719;-1951469.582;2844550.517
1.5.1-2;-16.48057016;-71.47201536;-1951479.256;2844542.755
1.5.1-2;-16.48060348;-71.47212004;-1951481.842;2844530.45
1.5.1-2;-16.48108837;-71.47234969;-1951535.897;2844498.035
1.5.1-2;-16.48088464;-71.47164463;-1951520.913;2844580.644
1.5.1-2;-16.48084493;-71.47148221;-1951518.309;2844599.58
1.5.1-2;-16.48094636;-71.47131472;-1951532.354;2844617.233
1.5.1-2;-16.48110824;-71.47143584;-1951549.836;2844601.372
1.5.1-2;-16.4813156;-71.47144151;-1951574.127;2844598
1.5.1-2;-16.48154513;-71.47128833;-1951603.04;2844612.344
1.5.1-2;-16.48184157;-71.47099763;-1951641.561;2844641.398
1.5.1-2;-16.48200449;-71.4708232;-1951662.918;2844659.028
1.5.1-2;-16.48232343;-71.47053778;-1951704.016;2844687.186
1.5.1-2;-16.48237347;-71.47032161;-1951712.641;2844711.034
1.5.1-2;-16.48266281;-71.46979955;-1951753.267;2844766.408
1.5.1-2;-16.48288226;-71.46966055;-1951780.816;2844779.277
1.5.1-2;-16.48330722;-71.46937848;-1951834.33;2844805.66
1.5.1-2;-16.48348373;-71.46925453;-1951856.642;2844817.387
1.5.1-2;-16.4834168;-71.46880885;-1951854.439;2844868.793
1.5.1-2;-16.48358519;-71.46851662;-1951877.936;2844899.704
1.5.1-2;-16.48376269;-71.46839004;-1951900.399;2844911.717
1.5.1-2;-16.48390062;-71.46788702;-1951922.994;2844966.926
1.5.1-2;-16.48370038;-71.46764251;-1951902.572;2844997.281
1.5.1-2;-16.48356336;-71.4680153;-1951881.739;2844956.823
1.5.1-2;-16.48339615;-71.46839569;-1951857.26;2844915.902
1.5.1-2;-16.48322441;-71.46881436;-1951831.764;2844870.7
1.5.1-2;-16.48302589;-71.46912546;-1951804.488;2844838.046
1.5.1-2;-16.48276762;-71.46939954;-1951770.661;2844810.375
1.5.1-2;-16.48253375;-71.46965997;-1951739.875;2844783.93
1.5.1-2;-16.48211706;-71.47036209;-1951682;2844709.82
1.5.1-2;-16.48193909;-71.47059947;-1951658.075;2844685.252
1.5.1-2;-16.48165756;-71.47076949;-1951622.838;2844669.682
1.5.1-2;-16.48144596;-71.47082242;-1951597.305;2844666.467
1.5.1-2;-16.48124192;-71.47085129;-1951572.964;2844665.88
1.5.1-2;-16.4809668;-71.47102914;-1951538.381;2844649.339
1.5.1-2;-16.48076266;-71.47116153;-1951512.715;2844637.016
1.5.1-2;-16.48050376;-71.47125342;-1951481.128;2844630.006
1.5.1-2;-16.4800737;-71.47148909;-1951427.607;2844608.949
1.5.1-2;-16.47992426;-71.4716561;-1951407.928;2844591.982
1.5.1-2;-16.48018321;-71.4718178;-1951436.3;2844570.244
1.5.1-2;-16.48032669;-71.47189321;-1951452.201;2844559.807
1.5.1-3; ; ;-1.516416327;20763369.87
1.5.1-3;-16.48068966;-71.47112529;-1951504.598;2844642.085
1.5.1-3;-16.48101998;-71.47091007;-1951546.141;2844662.137
1.5.1-3;-16.48114826;-71.47083209;-1951562.203;2844669.288
1.5.1-3;-16.48131756;-71.47077166;-1951582.862;2844673.911
1.5.1-3;-16.48156528;-71.47072919;-1951612.508;2844675.465
1.5.1-3;-16.48174809;-71.47065772;-1951634.894;2844681.162
1.5.1-3;-16.48203204;-71.47041198;-1951671.377;2844705.283
1.5.1-3;-16.48233762;-71.46986597;-1951714.215;2844763.158
1.5.1-3;-16.48253802;-71.46957961;-1951741.398;2844792.984
1.5.1-3;-16.48279574;-71.46929178;-1951775.334;2844822.221
1.5.1-3;-16.48290482;-71.46920036;-1951789.311;2844831.15
1.5.1-3;-16.48305201;-71.46897302;-1951809.493;2844854.984
1.5.1-3;-16.48290767;-71.46888817;-1951793.611;2844866.502
1.5.1-3;-16.48278643;-71.4688726;-1951779.564;2844869.864
1.5.1-3;-16.48265449;-71.46899425;-1951762.517;2844857.81
1.5.1-3;-16.48210998;-71.46950381;-1951692.068;2844807.211
1.5.1-3;-16.48183263;-71.47005003;-1951652.544;2844748.939
1.5.1-3;-16.48183498;-71.47014756;-1951651.581;2844737.852
1.5.1-3;-16.48187063;-71.47023975;-1951654.599;2844726.932
1.5.1-3;-16.48173206;-71.47031048;-1951637.42;2844720.737
1.5.1-3;-16.4814339;-71.47033619;-1951602.062;2844721.747
1.5.1-3;-16.4812277;-71.47034909;-1951577.671;2844722.998
1.5.1-3;-16.48118707;-71.47045871;-1951571.504;2844711.106
1.5.1-3;-16.48095232;-71.4705871;-1951542.293;2844699.64
1.5.1-3;-16.4804766;-71.47095464;-1951481.732;2844664.236
1.5.1-3;-16.48038318;-71.47096867;-1951470.577;2844663.874
1.5.1-3;-16.48043325;-71.47121609;-1951473.318;2844635.167
1.5.1-4; ; ;-1.516416327;20763369.87
1.5.1-4;-16.48101581;-71.47333653;-1951514.842;2844387.118
1.5.1-4;-16.48087948;-71.472293;-1951512.074;2844507.211
1.5.1-4;-16.48060689;-71.47214772;-1951481.89;2844527.267
1.5.1-4;-16.48056093;-71.47213071;-1951476.707;2844529.801
1.5.1-4;-16.48051901;-71.47204504;-1951472.869;2844540.065
1.5.1-4;-16.48044809;-71.47198535;-1951465.294;2844547.764
1.5.1-4;-16.480369;-71.47194719;-1951456.486;2844553.131
1.5.1-4;-16.48024141;-71.47192216;-1951441.813;2844557.647
1.5.1-4;-16.48028171;-71.47246285;-1951439.683;2844495.822
1.5.1-4;-16.48042996;-71.47335402;-1951445.787;2844392.845
1.5.1-5; ; ;-1.516416327;20763369.87
1.5.1-5;-16.47754489;-71.4757042;-1951076.981;2844164.376
1.5.1-5;-16.47762188;-71.47620137;-1951079.717;2844107.003
1.5.1-5;-16.47769296;-71.47681838;-1951080.237;2844036.121
1.5.1-5;-16.47773204;-71.47718978;-1951080.115;2843993.504
1.5.1-5;-16.47775044;-71.47747092;-1951078.709;2843961.391
1.5.1-5;-16.47804107;-71.47705439;-1951118.142;2844004.787
1.5.1-5;-16.47803432;-71.4767096;-1951121.724;2844043.963
1.5.1-5;-16.47790312;-71.47611269;-1951113.886;2844113.356
1.5.1-5;-16.47776896;-71.47498563;-1951112.428;2844242.889
1.5.1-5;-16.47768567;-71.47467097;-1951106.637;2844279.656
1.5.1-5;-16.47788673;-71.47446171;-1951132.915;2844300.734
1.5.1-5;-16.478281;-71.47430819;-1951181.188;2844312.951
1.5.1-5;-16.47894439;-71.47437241;-1951258.315;2844296.943
1.5.1-5;-16.47886907;-71.47366678;-1951258.423;2844377.927
1.5.1-5;-16.47898577;-71.47316238;-1951278.539;2844433.573
1.5.1-5;-16.47912597;-71.47280388;-1951299.562;2844472.369
1.5.1-5;-16.47965646;-71.47216552;-1951369.996;2844537.757
1.5.1-5;-16.47986644;-71.47212936;-1951395.126;2844539.093
1.5.1-5;-16.48023164;-71.47216139;-1951437.628;2844530.656
1.5.1-5;-16.48021437;-71.47186936;-1951439.306;2844563.989
1.5.1-5;-16.479891;-71.47168239;-1951403.687;2844589.44
1.5.1-5;-16.47976608;-71.4718047;-1951387.457;2844577.218
1.5.1-5;-16.47955691;-71.47191278;-1951361.508;2844567.718
1.5.1-5;-16.47930599;-71.47211445;-1951329.467;2844548.157
1.5.1-5;-16.47904023;-71.47235347;-1951295.207;2844524.558
1.5.1-5;-16.47885101;-71.47260785;-1951269.745;2844498.21
1.5.1-5;-16.47859783;-71.47297975;-1951235.277;2844459.38
1.5.1-5;-16.47837197;-71.47322125;-1951205.674;2844434.974
1.5.1-5;-16.47823065;-71.47330192;-1951188.046;2844427.689
1.5.1-5;-16.47808905;-71.47341201;-1951170.011;2844417.071
1.5.1-5;-16.4779755;-71.47350753;-1951155.457;2844407.737
