ident;lat;long;y_proj;x_proj
1.1.2-4; ; ;-1.516416327;20763369.87
1.1.2-4;-16.38309418;-71.51640114;-1939465.742;2840787.528
1.1.2-4;-16.38322487;-71.51630049;-1939482.364;2840797.236
1.1.2-4;-16.38307198;-71.51611805;-1939466.702;2840819.922
1.1.2-4;-16.38296635;-71.5159625;-1939456.252;2840838.942
1.1.2-4;-16.38286121;-71.51578188;-1939446.176;2840860.798
1.1.2-4;-16.38277753;-71.515645;-1939438.071;2840877.414
1.1.2-4;-16.38261146;-71.51578448;-1939416.803;2840863.763
1.1.2-4;-16.38245835;-71.51591072;-1939397.225;2840851.445
1.1.2-4;-16.38296794;-71.51655391;-1939448.987;2840771.851
1.1.2-5; ; ;-1.516416327;20763369.87
1.1.2-5;-16.38264496;-71.51676995;-1939408.321;2840751.565
1.1.2-5;-16.38288361;-71.51661036;-1939438.369;2840766.549
1.1.2-5;-16.38267413;-71.51633227;-1939417.263;2840800.821
1.1.2-5;-16.38251203;-71.51611241;-1939400.99;2840827.87
1.1.2-5;-16.38239647;-71.51593278;-1939389.677;2840849.751
1.1.2-5;-16.38228984;-71.51577988;-1939379.077;2840868.483
1.1.2-5;-16.38207696;-71.51594012;-1939352.048;2840853.089
1.1.2-5;-16.38189816;-71.51606972;-1939329.411;2840840.725
1.1.2-5;-16.3818089;-71.51615543;-1939317.844;2840832.169
1.1.2-5;-16.38240435;-71.51694585;-1939377.839;2840734.756
1.1.2-6; ; ;-1.516416327;20763369.87
1.1.2-6;-16.38198349;-71.51593131;-1939341.179;2840855.308
1.1.2-6;-16.38215313;-71.5158329;-1939362.348;2840864.254
1.1.2-6;-16.3822444;-71.51575027;-1939374.112;2840872.434
1.1.2-6;-16.38195699;-71.51534408;-1939345.465;2840922.251
1.1.2-6;-16.38169477;-71.51496782;-1939319.4;2840968.346
1.1.2-6;-16.38140572;-71.51523835;-1939282.034;2840941.438
1.1.2-6;-16.38126117;-71.51540604;-1939262.939;2840924.306
1.1.2-6;-16.38179125;-71.51607615;-1939316.77;2840841.391
1.1.2-7; ; ;-1.516416327;20763369.87
1.1.2-7;-16.38273558;-71.51564096;-1939433.193;2840878.42
1.1.2-7;-16.38264308;-71.5153961;-1939425.412;2840907.396
1.1.2-7;-16.38249062;-71.5151224;-1939410.95;2840940.426
1.1.2-7;-16.38252869;-71.51509602;-1939415.754;2840942.922
1.1.2-7;-16.38245969;-71.5149954;-1939408.916;2840955.234
1.1.2-7;-16.38222564;-71.51458729;-1939386.563;2841004.572
1.1.2-7;-16.38207033;-71.51439795;-1939370.702;2841028.073
1.1.2-7;-16.38183696;-71.51422806;-1939345.426;2841050.386
1.1.2-7;-16.38161359;-71.51417101;-1939319.903;2841059.772
1.1.2-7;-16.38143746;-71.5140124;-1939301.211;2841080.06
1.1.2-7;-16.38127917;-71.51388909;-1939284.167;2841096.11
1.1.2-7;-16.3809974;-71.51380813;-1939252.085;2841108.971
1.1.2-7;-16.3807982;-71.51380152;-1939228.766;2841112.32
1.1.2-7;-16.38079316;-71.51389755;-1939226.965;2841101.495
1.1.2-7;-16.38083219;-71.51396332;-1939230.721;2841093.526
1.1.2-7;-16.38101896;-71.51408449;-1939251.136;2841077.346
1.1.2-7;-16.38123704;-71.51429343;-1939274.123;2841050.804
1.1.2-7;-16.38147794;-71.51455621;-1939299.113;2841017.857
1.1.2-7;-16.38243539;-71.5158605;-1939395.16;2840857.44
1.1.2-8; ; ;-1.516416327;20763369.87
1.1.2-8;-16.38147107;-71.51509665;-1939291.497;2840956.655
1.1.2-8;-16.38163755;-71.51494134;-1939313.012;2840972.096
1.1.2-8;-16.38150357;-71.5147009;-1939300.301;2841001.113
1.1.2-8;-16.3813958;-71.51456847;-1939289.308;2841017.539
1.1.2-8;-16.38125546;-71.51439835;-1939274.966;2841038.664
1.1.2-8;-16.38106261;-71.51423429;-1939254.376;2841059.788
1.1.2-8;-16.38089159;-71.51408862;-1939236.121;2841078.54
1.1.2-8;-16.38074648;-71.51397858;-1939220.46;2841092.914
1.1.2-8;-16.3805705;-71.5139036;-1939200.729;2841103.715
1.1.2-8;-16.38035261;-71.51413986;-1939172.154;2841079.764
1.1.2-8;-16.38060577;-71.51447101;-1939197.723;2841038.903
1.1.2-8;-16.38075873;-71.51469807;-1939212.832;2841011.156
1.1.2-8;-16.38120624;-71.51531505;-1939257.632;2840935.342
1.1.2-9; ; ;-1.516416327;20763369.87
1.1.2-9;-16.37999622;-71.51535371;-1939114.991;2840946.751
1.1.2-9;-16.38031834;-71.51514033;-1939155.522;2840966.746
1.1.2-9;-16.38040204;-71.51512291;-1939165.576;2840967.629
1.1.2-9;-16.38052404;-71.51517104;-1939179.302;2840960.579
1.1.2-9;-16.38069931;-71.51536889;-1939197.399;2840935.853
1.1.2-9;-16.38085159;-71.51556881;-1939212.771;2840911.192
1.1.2-9;-16.38113018;-71.51538955;-1939247.758;2840927.886
1.1.2-9;-16.38091921;-71.51511058;-1939226.488;2840962.278
1.1.2-9;-16.38071116;-71.51479605;-1939206.009;2841000.665
1.1.2-9;-16.38060961;-71.51460488;-1939196.488;2841023.671
1.1.2-9;-16.38047512;-71.51442721;-1939182.926;2841045.576
1.1.2-9;-16.38031166;-71.51421985;-1939166.336;2841071.226
1.1.2-9;-16.37999045;-71.51436507;-1939126.77;2841058.95
1.1.2-9;-16.37979544;-71.51430927;-1939104.562;2841067.823
1.1.2-9;-16.37967111;-71.51423191;-1939090.931;2841078.22
1.1.2-9;-16.37958421;-71.51413746;-1939081.912;2841090.065
1.1.2-9;-16.37908732;-71.51378515;-1939027.975;2841136.507
1.1.2-9;-16.37883431;-71.5135028;-1939001.808;2841171.832
1.1.2-9;-16.37862169;-71.51361431;-1938975.424;2841161.96
1.1.2-9;-16.37862718;-71.51374975;-1938974.363;2841146.527
1.1.2-9;-16.37859105;-71.51383379;-1938969.06;2841137.467
1.1.2-9;-16.37851615;-71.5139065;-1938959.345;2841130.199
1.1.2-9;-16.37847204;-71.51397784;-1938953.263;2841122.684
1.1.2-9;-16.37843607;-71.51403666;-1938948.296;2841116.483
1.1.2-9;-16.37844702;-71.51408199;-1938949.012;2841111.198
1.1.2-9;-16.37849613;-71.5142689;-1938952.427;2841089.359
1.1.2-9;-16.37864326;-71.51456509;-1938965.98;2841053.847
1.1.2-9;-16.37874471;-71.51480956;-1938974.819;2841024.797
1.1.2-9;-16.37942607;-71.51579674;-1939042.428;2840903.947
1.1.2-10; ; ;-1.516416327;20763369.87
1.1.2-10;-16.38055603;-71.51656986;-1939165.436;2840801.52
1.1.2-10;-16.380323;-71.51619733;-1939142.753;2840846.81
1.1.2-10;-16.38008402;-71.51581505;-1939119.494;2840893.284
1.1.2-10;-16.37990941;-71.51552638;-1939102.618;2840928.301
1.1.2-10;-16.37976441;-71.51562908;-1939084.289;2840918.546
1.1.2-10;-16.37946759;-71.51587164;-1939046.362;2840894.91
1.1.2-10;-16.37956936;-71.51603869;-1939056.214;2840874.637
1.1.2-10;-16.37973766;-71.51626695;-1939073.111;2840846.554
1.1.2-10;-16.37992788;-71.51660198;-1939091.237;2840806.075
1.1.2-10;-16.38022102;-71.51709581;-1939119.453;2840746.244
1.1.2-10;-16.38068014;-71.51679108;-1939177.23;2840774.812
1.1.2-11; ; ;-1.516416327;20763369.87
1.1.2-11;-16.38124423;-71.51644288;-1939247.885;2840806.939
1.1.2-11;-16.38092933;-71.51585362;-1939218.315;2840877.877
1.1.2-11;-16.38073173;-71.5155521;-1939198.9;2840914.652
1.1.2-11;-16.38054956;-71.51527867;-1939180.944;2840948.039
1.1.2-11;-16.38041535;-71.51517199;-1939166.521;2840961.89
1.1.2-11;-16.38018522;-71.51531182;-1939137.724;2840949.035
1.1.2-11;-16.38008904;-71.51538616;-1939125.487;2840941.859
1.1.2-11;-16.3799887;-71.51546484;-1939112.708;2840934.245
1.1.2-11;-16.38079148;-71.51673784;-1939190.981;2840779.396
1.1.2-12; ; ;-1.516416327;20763369.87
1.1.2-12;-16.3816695;-71.51617555;-1939301.214;2840831.707
1.1.2-12;-16.38147951;-71.5158933;-1939282.451;2840866.196
1.1.2-12;-16.38129653;-71.51563673;-1939264.187;2840897.682
1.1.2-12;-16.38115035;-71.51545158;-1939249.346;2840920.589
1.1.2-12;-16.38089159;-71.51564433;-1939216.519;2840902.105
1.1.2-12;-16.38133006;-71.51638889;-1939258.649;2840811.942
1.1.2-13; ; ;-1.516416327;20763369.87
1.1.2-13;-16.38216399;-71.51684267;-1939350.902;2840749.595
1.1.2-13;-16.38196775;-71.51657799;-1939331.182;2840782.174
1.1.2-13;-16.38171753;-71.51621335;-1939306.381;2840826.793
1.1.2-13;-16.38134865;-71.5164507;-1939260.055;2840804.69
1.1.2-13;-16.38161189;-71.51685564;-1939285.878;2840755.33
1.1.2-13;-16.38185495;-71.51727273;-1939309.178;2840704.856
1.1.2-13;-16.38228768;-71.51701905;-1939363.21;2840727.978
1.1.2-16; ; ;-1.516416327;20763369.87
1.1.2-16;-16.381542;-71.5174525;-1939270.147;2840688.552
1.1.2-16;-16.38177982;-71.51730918;-1939299.891;2840701.703
1.1.2-16;-16.38158482;-71.51697699;-1939281.169;2840741.921
1.1.2-16;-16.38143175;-71.51674158;-1939266.153;2840770.617
1.1.2-16;-16.38128632;-71.51650301;-1939252.072;2840799.571
1.1.2-16;-16.38101108;-71.51667078;-1939217.623;2840784.136
1.1.2-16;-16.38081099;-71.51679464;-1939192.557;2840772.701
1.1.2-16;-16.38130848;-71.51758866;-1939240.998;2840676.159
1.1.2-17; ; ;-1.516416327;20763369.87
1.1.2-17;-16.38102756;-71.51777499;-1939205.649;2840658.693
1.1.2-17;-16.38122353;-71.51765517;-1939230.181;2840669.724
1.1.2-17;-16.38097078;-71.51725064;-1939205.584;2840718.901
1.1.2-17;-16.38080514;-71.51698439;-1939189.479;2840751.257
1.1.2-17;-16.38071708;-71.51685428;-1939180.773;2840767.163
1.1.2-17;-16.38036344;-71.51707929;-1939136.393;2840746.259
1.1.2-17;-16.38024596;-71.51717142;-1939121.431;2840737.344
1.1.2-17;-16.38070899;-71.51797157;-1939165.748;2840640.556
1.1.2-21; ; ;-1.516416327;20763369.87
1.1.2-21;-16.3800149;-71.51843224;-1939078.403;2840597.369
1.1.2-21;-16.37953985;-71.51760193;-1939033.054;2840697.733
1.1.2-21;-16.37907192;-71.5178851;-1938974.515;2840671.724
1.1.2-21;-16.37954292;-71.51871551;-1939019.387;2840571.403
1.1.2-22; ; ;-1.516416327;20763369.87
1.1.2-22;-16.38059387;-71.51805837;-1939151.129;2840632.214
1.1.2-22;-16.38035171;-71.51762775;-1939128.106;2840684.211
1.1.2-22;-16.38011952;-71.51724302;-1939105.675;2840730.874
1.1.2-22;-16.37962145;-71.5175552;-1939043.23;2840701.968
1.1.2-22;-16.38010722;-71.51835844;-1939090.179;2840604.535
1.1.2-23; ; ;-1.516416327;20763369.87
1.1.2-23;-16.38008412;-71.51717484;-1939102.375;2840739.068
1.1.2-23;-16.37970249;-71.51647841;-1939066.315;2840823.03
1.1.2-23;-16.37937228;-71.5159281;-1939034.454;2840889.752
1.1.2-23;-16.3788758;-71.51626921;-1938971.831;2840857.544
1.1.2-23;-16.37958456;-71.51748158;-1939039.822;2840710.799
1.1.2-24; ; ;-1.516416327;20763369.87
1.1.2-24;-16.37948949;-71.51754623;-1939027.839;2840704.707
1.1.2-24;-16.37922838;-71.517073;-1939003.126;2840761.785
1.1.2-24;-16.37903874;-71.51674428;-1938984.989;2840801.54
1.1.2-24;-16.37878124;-71.51631206;-1938960.182;2840853.918
1.1.2-24;-16.37830599;-71.51663018;-1938900.342;2840824.041
1.1.2-24;-16.37869471;-71.51726044;-1938938.069;2840747.49
1.1.2-24;-16.37905182;-71.51780937;-1938973.107;2840680.576
1.1.2-25; ; ;-1.516416327;20763369.87
1.1.2-25;-16.37931586;-71.5158627;-1939028.65;2840897.904
1.1.2-25;-16.37907784;-71.51545337;-1939005.844;2840947.434
1.1.2-25;-16.37887571;-71.51516514;-1938985.729;2840982.76
1.1.2-25;-16.37868733;-71.51490227;-1938966.909;2841015.032
1.1.2-25;-16.378246;-71.51519507;-1938911.373;2840987.583
1.1.2-25;-16.37883161;-71.51617797;-1938967.788;2840868.469
1.1.2-26; ; ;-1.516416327;20763369.87
1.1.2-26;-16.3787381;-71.51622798;-1938956.172;2840864.017
1.1.2-26;-16.37835437;-71.51557602;-1938919.305;2840942.965
1.1.2-26;-16.37815877;-71.51524861;-1938900.451;2840982.649
1.1.2-26;-16.37767975;-71.51559142;-1938839.857;2840950.022
1.1.2-26;-16.37827936;-71.51652908;-1938898.487;2840835.854
1.1.2-27; ; ;-1.516416327;20763369.87
1.1.2-27;-16.37817098;-71.51660175;-1938884.84;2840829.027
1.1.2-27;-16.37799096;-71.51627538;-1938867.802;2840868.391
1.1.2-27;-16.37783012;-71.51601673;-1938852.165;2840899.824
1.1.2-27;-16.37770225;-71.51579926;-1938839.882;2840926.155
1.1.2-27;-16.37760081;-71.51562069;-1938830.213;2840947.732
1.1.2-27;-16.37732866;-71.51581488;-1938795.795;2840929.259
1.1.2-27;-16.37758589;-71.51618254;-1938821.384;2840884.205
1.1.2-27;-16.37775121;-71.51645872;-1938837.326;2840850.726
1.1.2-27;-16.37792571;-71.5167579;-1938854.057;2840814.518
1.1.2-28; ; ;-1.516416327;20763369.87
1.1.2-28;-16.37755521;-71.51555372;-1938825.7;2840955.922
1.1.2-28;-16.37733323;-71.51514653;-1938804.751;2841004.999
1.1.2-28;-16.37725608;-71.51502821;-1938797.178;2841019.425
1.1.2-28;-16.37708411;-71.51515437;-1938775.386;2841007.361
1.1.2-28;-16.37732476;-71.51572922;-1938796.417;2840939.025
1.1.2-29; ; ;-1.516416327;20763369.87
1.1.2-29;-16.37724458;-71.51499365;-1938796.262;2841023.495
1.1.2-29;-16.37707;-71.51468954;-1938779.583;2841060.264
1.1.2-29;-16.37694175;-71.51446536;-1938767.34;2841087.362
1.1.2-29;-16.37683647;-71.5142736;-1938757.387;2841110.484
1.1.2-29;-16.37671872;-71.51408957;-1938745.872;2841132.892
1.1.2-29;-16.37651738;-71.51426445;-1938720.016;2841115.686
1.1.2-29;-16.37675224;-71.51460611;-1938743.303;2841073.872
1.1.2-29;-16.37689796;-71.51484144;-1938757.458;2841045.281
1.1.2-29;-16.37707777;-71.5151198;-1938775.077;2841011.364
1.1.2-30; ; ;-1.516416327;20763369.87
1.1.2-30;-16.3766874;-71.51407349;-1938742.396;2841135.125
1.1.2-30;-16.37635494;-71.51358645;-1938709.473;2841194.701
1.1.2-30;-16.37611768;-71.51323026;-1938686.086;2841238.194
1.1.2-30;-16.37588758;-71.51337618;-1938657.215;2841224.648
1.1.2-30;-16.37615516;-71.51375508;-1938683.879;2841178.183
1.1.2-30;-16.37648906;-71.51422194;-1938717.224;2841120.877
1.1.2-31; ; ;-1.516416327;20763369.87
1.1.2-31;-16.37814322;-71.5152013;-1938899.22;2840988.218
1.1.2-31;-16.37770763;-71.51443363;-1938857.717;2841080.967
1.1.2-31;-16.37742638;-71.51395105;-1938830.755;2841139.368
1.1.2-31;-16.37715579;-71.513471;-1938805.013;2841197.344
1.1.2-31;-16.37691513;-71.51314482;-1938780.849;2841237.479
1.1.2-31;-16.37662776;-71.51280786;-1938751.333;2841279.445
1.1.2-31;-16.37615506;-71.51315995;-1938691.364;2841245.682
1.1.2-31;-16.37651597;-71.51366567;-1938727.394;2841183.615
1.1.2-31;-16.37676213;-71.51400226;-1938752.072;2841142.228
1.1.2-31;-16.37705277;-71.51449609;-1938779.996;2841082.428
1.1.2-31;-16.37732617;-71.51496609;-1938806.195;2841025.556
1.1.2-31;-16.37752562;-71.51530834;-1938825.315;2840984.138
1.1.2-31;-16.37764304;-71.51550151;-1938836.676;2840960.697
1.1.2-32; ; ;-1.516416327;20763369.87
1.1.2-32;-16.3785334;-71.51455214;-1938953.237;2841056.749
1.1.2-32;-16.37838322;-71.51423663;-1938939.568;2841094.493
1.1.2-32;-16.3782034;-71.5139084;-1938922.578;2841134.065
1.1.2-32;-16.37797003;-71.51353693;-1938899.841;2841179.241
1.1.2-32;-16.37775274;-71.51319047;-1938878.678;2841221.37
1.1.2-32;-16.37749308;-71.51278374;-1938853.297;2841270.888
1.1.2-32;-16.37729051;-71.51258697;-1938831.978;2841295.848
1.1.2-32;-16.37711213;-71.51248911;-1938812.255;2841309.275
1.1.2-32;-16.37691241;-71.51263082;-1938787.006;2841295.809
1.1.2-32;-16.37674314;-71.51274917;-1938765.628;2841284.595
1.1.2-32;-16.37684285;-71.51289554;-1938775.498;2841266.694
1.1.2-32;-16.37702134;-71.51314711;-1938793.299;2841235.833
1.1.2-32;-16.37723593;-71.51344669;-1938814.735;2841199.055
1.1.2-32;-16.37737734;-71.51368747;-1938828.315;2841169.902
1.1.2-32;-16.37751782;-71.51393229;-1938841.734;2841140.303
1.1.2-32;-16.37769371;-71.51423657;-1938858.564;2841103.498
1.1.2-32;-16.37789297;-71.51457432;-1938877.719;2841062.592
1.1.2-32;-16.37822364;-71.5151322;-1938909.538;2840995.005
1.1.2-32;-16.37866068;-71.51484972;-1938964.441;2841021.339
1.1.2-33; ; ;-1.516416327;20763369.87
1.1.2-33;-16.3785826;-71.51368858;-1938969.896;2841154.047
1.1.2-33;-16.37857853;-71.51358243;-1938970.756;2841166.139
1.1.2-33;-16.37857718;-71.51348939;-1938971.769;2841176.708
1.1.2-33;-16.37855157;-71.51338179;-1938970.117;2841189.245
1.1.2-33;-16.37845351;-71.51324761;-1938960.287;2841205.743
1.1.2-33;-16.3783392;-71.5130973;-1938948.751;2841224.282
1.1.2-33;-16.37816835;-71.51297211;-1938930.257;2841240.711
1.1.2-33;-16.37794315;-71.51285035;-1938905.334;2841257.46
1.1.2-33;-16.37775183;-71.51272213;-1938884.473;2841274.498
1.1.2-33;-16.37761783;-71.51262898;-1938869.903;2841286.812
1.1.2-33;-16.37754076;-71.5126844;-1938860.151;2841281.532
1.1.2-33;-16.37771538;-71.51291476;-1938877.764;2841253.127
1.1.2-33;-16.37789417;-71.51317166;-1938895.531;2841221.658
1.1.2-33;-16.3780327;-71.51341998;-1938908.677;2841191.687
1.1.2-33;-16.3782392;-71.51375065;-1938928.771;2841151.489
1.1.2-33;-16.37837231;-71.51393075;-1938942.141;2841129.326
1.1.2-33;-16.37858364;-71.51375968;-1938969.123;2841145.97
1.1.2-34; ; ;-1.516416327;20763369.87
1.1.2-34;-16.3785314;-71.51302716;-1938972.215;2841229.729
1.1.2-34;-16.37861699;-71.5129344;-1938983.439;2841239.133
1.1.2-34;-16.37846687;-71.51284311;-1938966.953;2841251.445
1.1.2-34;-16.37832165;-71.51275559;-1938950.995;2841263.266
1.1.2-34;-16.37809106;-71.51262484;-1938925.552;2841281.105
1.1.2-34;-16.3778102;-71.51249003;-1938894.255;2841300.06
1.1.2-34;-16.37762052;-71.51237471;-1938873.423;2841315.614
1.1.2-34;-16.37744299;-71.51240517;-1938852.182;2841314.478
1.1.2-34;-16.3772895;-71.51238006;-1938834.466;2841319.328
1.1.2-34;-16.37721767;-71.51248248;-1938824.738;2841308.65
1.1.2-34;-16.37740881;-71.51253761;-1938846.499;2841299.902
1.1.2-34;-16.37749864;-71.51255181;-1938856.873;2841297.119
1.1.2-34;-16.37769629;-71.51264581;-1938878.908;2841283.879
1.1.2-34;-16.37793546;-71.51278143;-1938905.299;2841265.376
1.1.2-34;-16.37822769;-71.51294499;-1938937.57;2841243.012
1.1.2-34;-16.37844316;-71.51312965;-1938960.557;2841219.257
1.1.2-34;-16.37856551;-71.51328912;-1938972.922;2841199.574
1.1.2-34;-16.37863763;-71.51343223;-1938979.592;2841182.402
1.1.2-34;-16.3786467;-71.51358664;-1938978.712;2841164.771
1.1.2-34;-16.37885353;-71.51347692;-1939004.393;2841174.516
1.1.2-35; ; ;-1.516416327;20763369.87
1.1.2-35;-16.37704174;-71.51238466;-1938805.301;2841322.04
1.1.2-35;-16.37679847;-71.51204673;-1938780.979;2841363.542
1.1.2-35;-16.37661847;-71.51178432;-1938763.138;2841395.653
1.1.2-35;-16.37643446;-71.51155057;-1938744.464;2841424.565
1.1.2-35;-16.37634505;-71.51136918;-1938736.245;2841446.305
1.1.2-35;-16.37617586;-71.51104482;-1938720.455;2841485.301
1.1.2-35;-16.37597267;-71.51070994;-1938700.803;2841525.934
1.1.2-35;-16.37584061;-71.51045783;-1938688.464;2841556.25
1.1.2-35;-16.37568921;-71.51007425;-1938675.51;2841601.731
1.1.2-35;-16.37544373;-71.51025127;-1938644.44;2841584.859
1.1.2-35;-16.37523166;-71.51040422;-1938617.597;2841570.278
1.1.2-35;-16.37514946;-71.51046091;-1938607.226;2841564.922
1.1.2-35;-16.37504959;-71.51054308;-1938594.457;2841556.905
1.1.2-35;-16.37534415;-71.51094895;-1938623.95;2841507.028
1.1.2-35;-16.37573898;-71.51145451;-1938663.967;2841444.536
1.1.2-35;-16.37618043;-71.51201754;-1938708.736;2841374.919
1.1.2-35;-16.37667338;-71.51266531;-1938758.489;2841295.018
1.1.2-36; ; ;-1.516416327;20763369.87
1.1.2-36;-16.37654083;-71.51273448;-1938742.045;2841288.902
1.1.2-36;-16.37629661;-71.51235931;-1938718.08;2841334.64
1.1.2-36;-16.37605386;-71.51203518;-1938693.645;2841374.569
1.1.2-36;-16.37579086;-71.51167478;-1938667.287;2841418.876
1.1.2-36;-16.37553194;-71.51187245;-1938634.377;2841399.837
1.1.2-36;-16.37591202;-71.51237542;-1938672.694;2841337.831
1.1.2-36;-16.37629675;-71.51289918;-1938711.296;2841273.408
1.1.2-37; ; ;-1.516416327;20763369.87
1.1.2-37;-16.37620777;-71.51297383;-1938699.901;2841266.102
1.1.2-37;-16.37586991;-71.51248808;-1938666.328;2841325.604
1.1.2-37;-16.37548986;-71.5127691;-1938618.138;2841298.69
1.1.2-37;-16.37582756;-71.51326562;-1938651.557;2841237.971
