ident;lat;long;y_proj;x_proj
1.13.14-33; ; ;-1.516416327;20763369.87
1.13.14-33;-16.43035774;-71.4836906;-1945431.631;2843878.619
1.13.14-33;-16.42997471;-71.48366727;-1945386.922;2843886.287
1.13.14-33;-16.42994173;-71.48408481;-1945377.764;2843839.374
1.13.14-33;-16.43033605;-71.48410854;-1945423.793;2843831.512
1.13.14-34; ; ;-1.516416327;20763369.87
1.13.14-34;-16.43076814;-71.48368818;-1945479.881;2843873.512
1.13.14-34;-16.4303763;-71.48369444;-1945433.763;2843877.94
1.13.14-34;-16.43036991;-71.48410976;-1945427.756;2843830.929
1.13.14-34;-16.43075333;-71.48412133;-1945472.659;2843824.59
1.13.14-35; ; ;-1.516416327;20763369.87
1.13.14-35;-16.43073828;-71.4835956;-1945477.545;2843884.402
1.13.14-35;-16.43077897;-71.48354866;-1945482.919;2843889.191
1.13.14-35;-16.43076901;-71.483487;-1945482.529;2843896.314
1.13.14-35;-16.43011138;-71.48337436;-1945406.687;2843917.71
1.13.14-35;-16.4300958;-71.48342204;-1945404.253;2843912.507
1.13.14-35;-16.43002825;-71.48359359;-1945394.145;2843893.941
1.13.14-35;-16.43055776;-71.48364509;-1945455.708;2843881.158
1.13.22-18; ; ;-1.516416327;20763369.87
1.13.22-18;-16.42823597;-71.48626514;-1945149.761;2843614.5
1.13.22-18;-16.42803569;-71.48579606;-1945132.165;2843670.317
1.13.22-18;-16.42774617;-71.48596952;-1945095.953;2843654.443
1.13.22-18;-16.42789458;-71.4865045;-1945106.622;2843591.832
1.13.22-18;-16.42810254;-71.48641187;-1945132.228;2843599.611
1.13.22-19; ; ;-1.516416327;20763369.87
1.13.22-19;-16.4276161;-71.48665391;-1945072.012;2843578.541
1.13.22-19;-16.42768292;-71.48662098;-1945080.28;2843581.4
1.13.22-19;-16.42783642;-71.48656437;-1945099.031;2843585.806
1.13.22-19;-16.42770389;-71.48601984;-1945090.349;2843649.29
1.13.22-19;-16.42728235;-71.48625148;-1945037.89;2843628.55
1.13.22-19;-16.4273834;-71.48666905;-1945044.481;2843579.874
1.13.22-19;-16.42752639;-71.48666072;-1945061.386;2843578.945
1.13.22-20; ; ;-1.516416327;20763369.87
1.13.22-20;-16.42699393;-71.48670596;-1944998.254;2843580.795
1.13.22-20;-16.42731648;-71.48668759;-1945036.384;2843578.649
1.13.22-20;-16.42731621;-71.48668589;-1945036.374;2843578.845
1.13.22-20;-16.42731315;-71.4866795;-1945036.095;2843579.611
1.13.22-20;-16.42721852;-71.48630233;-1945029.748;2843623.62
1.13.22-20;-16.42690844;-71.486465;-1944991.258;2843609.239
1.13.22-20;-16.42664176;-71.48660928;-1944958.099;2843596.374
1.13.22-20;-16.42683864;-71.48667482;-1944980.402;2843586.361
1.13.23-1; ; ;-1.516416327;20763369.87
1.13.23-1;-16.42882392;-71.48232698;-1945268.672;2844053.36
1.13.23-1;-16.42862464;-71.48257662;-1945242.099;2844027.665
1.13.23-1;-16.42887798;-71.48283519;-1945268.593;2843995.022
1.13.23-1;-16.42909617;-71.48257852;-1945297.478;2844021.267
1.13.23-2; ; ;-1.516416327;20763369.87
1.13.23-2;-16.4285539;-71.48261472;-1945233.305;2844024.272
1.13.23-2;-16.42831562;-71.48291634;-1945201.492;2843993.194
1.13.23-2;-16.42858707;-71.48318151;-1945230.031;2843959.565
1.13.23-2;-16.42882814;-71.48291347;-1945261.747;2843986.799
1.13.23-3; ; ;-1.516416327;20763369.87
1.13.23-3;-16.42888121;-71.48296128;-1945267.377;2843980.682
1.13.23-3;-16.42866517;-71.48322647;-1945238.638;2843953.443
1.13.23-3;-16.42864503;-71.48325636;-1945235.893;2843950.317
1.13.23-3;-16.42889614;-71.48352814;-1945261.957;2843916.207
1.13.23-3;-16.42912859;-71.48324141;-1945292.898;2843945.672
1.13.23-4; ; ;-1.516416327;20763369.87
1.13.23-4;-16.42833754;-71.48363264;-1945195.004;2843911.681
1.13.23-4;-16.42860276;-71.48390817;-1945222.679;2843876.959
1.13.23-4;-16.42883715;-71.48362445;-1945253.808;2843906.059
1.13.23-4;-16.42858776;-71.48334194;-1945228.081;2843941.365
1.13.23-4A; ; ;-1.516416327;20763369.87
1.13.23-4A;-16.42803667;-71.48327673;-1945164.157;2843955.984
1.13.23-4A;-16.42829611;-71.48355713;-1945191.092;2843920.786
1.13.23-4A;-16.42854104;-71.48327304;-1945223.464;2843949.79
1.13.23-4A;-16.42828103;-71.48299811;-1945196.393;2843984.375
1.13.23-5; ; ;-1.516416327;20763369.87
1.13.23-5;-16.42863972;-71.483983;-1945226.074;2843867.99
1.13.23-5;-16.42891418;-71.48426324;-1945254.775;2843832.613
1.13.23-5;-16.42914111;-71.48396294;-1945285.239;2843863.69
1.13.23-5;-16.42888286;-71.48368347;-1945258.432;2843898.767
1.13.23-6; ; ;-1.516416327;20763369.87
1.13.23-6;-16.42860884;-71.48405739;-1945221.505;2843859.959
1.13.23-6;-16.42858641;-71.4840561;-1945218.885;2843860.399
1.13.23-6;-16.42836509;-71.48434353;-1945189.245;2843830.708
1.13.23-6;-16.42861624;-71.48459509;-1945215.57;2843798.89
1.13.23-6;-16.42884621;-71.4843195;-1945246.078;2843827.125
1.13.23-7; ; ;-1.516416327;20763369.87
1.13.23-7;-16.42804779;-71.48471345;-1945147.284;2843792.921
1.13.23-7;-16.42832643;-71.48496434;-1945176.847;2843760.817
1.13.23-7;-16.42855034;-71.48469635;-1945206.547;2843788.271
1.13.23-7;-16.42829687;-71.48440708;-1945180.426;2843824.395
1.13.23-8; ; ;-1.516416327;20763369.87
1.13.23-8;-16.42799423;-71.48407907;-1945149.018;2843865.559
1.13.23-8;-16.42775118;-71.48436605;-1945116.83;2843836.203
1.13.23-8;-16.42799379;-71.48465581;-1945141.669;2843800.164
1.13.23-8;-16.42825099;-71.48436002;-1945175.63;2843830.334
1.13.23-9; ; ;-1.516416327;20763369.87
1.13.23-9;-16.42805777;-71.48398786;-1945157.638;2843875.068
1.13.23-9;-16.42806013;-71.48400992;-1945157.635;2843872.536
1.13.23-9;-16.42830599;-71.48426263;-1945183.325;2843840.656
1.13.23-9;-16.42853547;-71.48397823;-1945213.886;2843869.897
1.13.23-9;-16.42828288;-71.48370072;-1945187.719;2843904.677
1.13.23-10; ; ;-1.516416327;20763369.87
1.13.23-10;-16.42797771;-71.48335455;-1945156.244;2843947.932
1.13.23-10;-16.42774686;-71.48365141;-1945125.365;2843917.297
1.13.23-10;-16.42799434;-71.4839271;-1945150.953;2843882.79
1.13.23-10;-16.42823133;-71.48362391;-1945182.635;2843914.063
1.13.23-11; ; ;-1.516416327;20763369.87
1.13.23-11;-16.4274437;-71.48403576;-1945084.881;2843877.688
1.13.23-11;-16.42770469;-71.48432031;-1945111.947;2843841.999
1.13.23-11;-16.42794627;-71.48401913;-1945144.141;2843872.984
1.13.23-11;-16.42768516;-71.48372974;-1945117.124;2843909.223
1.13.23-12; ; ;-1.516416327;20763369.87
1.13.23-12;-16.42740147;-71.4841026;-1945079.075;2843870.662
