ident;lat;long;y_proj;x_proj
1.13.45-13; ; ;-1.516416327;20763369.87
1.13.45-13;-16.41215353;-71.48084728;-1943328.678;2844439.658
1.13.45-13;-16.4122308;-71.48116339;-1943333.759;2844402.796
1.13.45-13;-16.41211271;-71.48168352;-1943313.308;2844345.355
1.13.45-13;-16.41219487;-71.48196451;-1943319.409;2844312.412
1.13.45-13;-16.41235711;-71.48194689;-1943338.694;2844312.285
1.13.45-13;-16.41248543;-71.48163257;-1943357.746;2844346.25
1.13.45-13;-16.41262109;-71.48130227;-1943377.862;2844381.932
1.13.45-13;-16.41258808;-71.48105268;-1943377.139;2844410.671
1.13.45-13;-16.41248261;-71.48074087;-1943368.69;2844447.415
1.13.45-13;-16.41238342;-71.48037832;-1943361.62;2844489.831
1.13.45-13;-16.41211548;-71.48042535;-1943329.543;2844488.007
1.13.85-1; ; ;-1.516416327;20763369.87
1.13.85-1;-16.42095119;-71.49955198;-1944125.876;2842203.31
1.13.85-1;-16.42118673;-71.49922549;-1944157.675;2842237.247
1.13.85-1;-16.42083451;-71.49888089;-1944120.649;2842280.934
1.13.85-1;-16.42057446;-71.49909665;-1944087.371;2842259.873
1.13.85-1;-16.42089905;-71.49955337;-1944119.732;2842203.835
1.13.85-2; ; ;-1.516416327;20763369.87
1.13.85-2;-16.42088579;-71.49965835;-1944116.848;2842192.105
1.13.85-2;-16.42052396;-71.49914853;-1944080.781;2842254.652
1.13.85-2;-16.42010428;-71.49948177;-1944027.264;2842222.361
1.13.85-2;-16.42056438;-71.50014318;-1944072.96;2842141.338
1.13.85-3; ; ;-1.516416327;20763369.87
1.13.85-3;-16.42051005;-71.50020354;-1944065.815;2842135.205
1.13.85-3;-16.42004555;-71.499535;-1944019.692;2842217.094
1.13.85-3;-16.41977462;-71.4997539;-1943985.095;2842195.819
1.13.85-3;-16.4203222;-71.50053322;-1944039.58;2842100.282
1.13.85-4; ; ;-1.516416327;20763369.87
1.13.85-4;-16.41973427;-71.50131111;-1943960.678;2842019.773
