ident;lat;long;y_proj;x_proj
1.3.1-1; ; ;-1.516416327;20763369.87
1.3.1-1;-16.39031801;-71.54807576;-1939915.491;2837101.538
1.3.1-1;-16.38971683;-71.54771103;-1939849.466;2837150.729
1.3.1-1;-16.38941769;-71.54857957;-1939803.402;2837056.15
1.3.1-2; ; ;-1.516416327;20763369.87
1.3.1-2;-16.39015745;-71.5477408;-1939900.846;2837141.61
1.3.1-2;-16.39035415;-71.54720508;-1939930.691;2837199.787
1.3.1-2;-16.38993584;-71.54706175;-1939883.36;2837221.491
1.3.1-2;-16.38970987;-71.54755769;-1939850.579;2837168.206
1.3.1-3; ; ;-1.516416327;20763369.87
1.3.1-3;-16.39058531;-71.54792074;-1939948.837;2837115.631
1.3.1-3;-16.39115156;-71.54756418;-1940019.834;2837148.678
1.3.1-3;-16.3911425;-71.54751778;-1940019.353;2837154.057
1.3.1-3;-16.39043263;-71.54724684;-1939939.384;2837194.03
1.3.1-3;-16.39023678;-71.54775474;-1939909.989;2837138.996
1.3.1-4; ; ;-1.516416327;20763369.87
1.3.1-4;-16.3914331;-71.54737928;-1940055.229;2837165.972
1.3.1-4;-16.39009571;-71.54680384;-1939905.384;2837248.65
1.3.1-4;-16.39001695;-71.54700582;-1939893.591;2837226.776
1.3.1-4;-16.39125675;-71.54747196;-1940033.35;2837157.762
1.3.1-5; ; ;-1.516416327;20763369.87
1.3.1-5;-16.39234388;-71.54707848;-1940165.993;2837188.203
1.3.1-5;-16.3921831;-71.54633656;-1940156.445;2837274.42
1.3.1-5;-16.39198476;-71.54638781;-1940132.504;2837271.196
1.3.1-5;-16.39177033;-71.54636462;-1940107.609;2837276.62
1.3.1-5;-16.39207126;-71.54718815;-1940132.592;2837179.324
1.3.1-6; ; ;-1.516416327;20763369.87
1.3.1-6;-16.39101826;-71.54624318;-1940020.8;2837300.194
1.3.1-6;-16.39127407;-71.54636868;-1940049.267;2837282.629
1.3.1-6;-16.3915998;-71.54624027;-1940089.143;2837292.943
1.3.1-6;-16.39172047;-71.54634805;-1940101.96;2837279.149
1.3.1-6;-16.39178666;-71.54630744;-1940110.246;2837282.89
1.3.1-6;-16.39217433;-71.54629481;-1940155.94;2837279.269
1.3.1-6;-16.39217449;-71.546212;-1940157.001;2837288.656
1.3.1-6;-16.39191572;-71.54610185;-1940127.993;2837304.519
1.3.1-6;-16.39144559;-71.54586458;-1940075.758;2837337.551
1.3.1-6;-16.39139803;-71.5458829;-1940069.941;2837336.094
1.3.1-6;-16.39096418;-71.54607717;-1940016.537;2837319.723
