ident;lat;long;y_proj;x_proj
1.27.1-1; ; ;-1.516416327;20763369.87
1.27.1-1;-16.38434456;-71.53956481;-1939320.942;2838144.443
1.27.1-1;-16.38360379;-71.53937872;-1939236.271;2838175.2
1.27.1-1;-16.3835407;-71.53977584;-1939223.862;2838130.992
1.27.1-1;-16.38425965;-71.53997357;-1939305.825;2838099.199
1.27.1-2; ; ;-1.516416327;20763369.87
1.27.1-2;-16.38362604;-71.53851108;-1939249.803;2838273.295
1.27.1-2;-16.38357455;-71.5387111;-1939241.238;2838251.286
1.27.1-2;-16.38348491;-71.53883759;-1939229.116;2838238.111
1.27.1-2;-16.38358664;-71.53900662;-1939238.939;2838217.617
1.27.1-2;-16.38363063;-71.53914018;-1939242.425;2838201.899
1.27.1-2;-16.3836027;-71.53933276;-1939236.721;2838180.426
1.27.1-2;-16.38435628;-71.53953482;-1939322.696;2838147.69
1.27.1-2;-16.38441862;-71.53915594;-1939334.788;2838189.839
1.27.1-2;-16.38454028;-71.53878646;-1939353.729;2838230.151
1.27.1-3; ; ;-1.516416327;20763369.87
1.27.1-3;-16.38354046;-71.53898774;-1939233.751;2838220.36
1.27.1-3;-16.38341817;-71.53884456;-1939221.189;2838238.191
1.27.1-3;-16.38333047;-71.53877033;-1939211.821;2838247.751
1.27.1-3;-16.38307607;-71.53867957;-1939183.081;2838261.359
1.27.1-3;-16.38281074;-71.53863759;-1939152.442;2838269.579
1.27.1-3;-16.38262818;-71.53863215;-1939131.066;2838272.575
1.27.1-3;-16.38249715;-71.53860383;-1939116.031;2838277.495
1.27.1-3;-16.38241824;-71.53848768;-1939108.223;2838291.694
1.27.1-3;-16.38225619;-71.53828369;-1939091.756;2838316.938
1.27.1-3;-16.38206253;-71.53806711;-1939071.733;2838344.021
1.27.1-3;-16.3817746;-71.53783109;-1939040.881;2838374.538
1.27.1-3;-16.38164978;-71.53810012;-1939022.834;2838345.659
1.27.1-3;-16.38160746;-71.53822144;-1939016.336;2838332.453
1.27.1-3;-16.38194064;-71.53837058;-1939053.596;2838311.198
1.27.1-3;-16.38181558;-71.53924465;-1939027.906;2838213.713
1.27.1-3;-16.38349145;-71.53974644;-1939218.447;2838134.968
1.27.1-3;-16.38359245;-71.53914643;-1939237.862;2838201.688
1.27.1-4; ; ;-1.516416327;20763369.87
1.27.1-4;-16.38361051;-71.5385067;-1939248.034;2838273.995
1.27.1-4;-16.38266603;-71.53822511;-1939140.634;2838318.238
1.27.1-4;-16.38225745;-71.53775074;-1939098.61;2838377.355
1.27.1-4;-16.38200194;-71.53793686;-1939066.255;2838359.581
1.27.1-4;-16.38242597;-71.53838505;-1939110.423;2838303.23
1.27.1-4;-16.38249778;-71.53849049;-1939117.532;2838290.338
1.27.1-4;-16.38258145;-71.53855568;-1939126.539;2838281.856
1.27.1-4;-16.38296495;-71.53858066;-1939171.272;2838274.023
1.27.1-4;-16.38317631;-71.53863848;-1939195.372;2838264.712
1.27.1-4;-16.38335177;-71.5387049;-1939215.147;2838254.893
1.27.1-4;-16.38348292;-71.53880847;-1939229.248;2838241.439
1.27.1-4;-16.38356063;-71.53871779;-1939239.518;2838250.708
1.27.1-5; ; ;-1.516416327;20763369.87
1.27.1-5;-16.38244269;-71.53762505;-1939121.951;2838389.193
1.27.1-5;-16.38255803;-71.53758789;-1939135.967;2838391.904
1.27.1-5;-16.38263405;-71.53735403;-1939147.84;2838417.431
1.27.1-5;-16.38255456;-71.53730751;-1939139.089;2838423.742
1.27.1-5;-16.38243901;-71.53727992;-1939125.862;2838428.377
1.27.1-5;-16.38231544;-71.53726968;-1939111.476;2838431.149
1.27.1-5;-16.38180415;-71.53724219;-1939051.763;2838440.931
1.27.1-5;-16.38138053;-71.53722611;-1939002.204;2838448.278
1.27.1-5;-16.38135228;-71.53736798;-1938997.101;2838432.558
1.27.1-5;-16.38165912;-71.53756798;-1939030.627;2838405.879
1.27.1-5;-16.38167439;-71.53762262;-1939031.733;2838399.484
1.27.1-5;-16.38169856;-71.53770589;-1939033.524;2838389.727
1.27.1-5;-16.38199354;-71.53792994;-1939065.355;2838360.475
1.27.1-5;-16.38231251;-71.53770278;-1939105.681;2838382.076
1.27.1-6; ; ;-1.516416327;20763369.87
1.27.1-6;-16.38261306;-71.53743472;-1939144.359;2838408.554
1.27.1-6;-16.38256194;-71.53760039;-1939136.269;2838390.435
1.27.1-6;-16.38244066;-71.53763461;-1939121.592;2838388.136
1.27.1-6;-16.38232261;-71.53770948;-1939106.783;2838381.185
1.27.1-6;-16.38268791;-71.53812832;-1939144.422;2838328.927
1.27.1-6;-16.38275701;-71.53815212;-1939152.24;2838325.329
1.27.1-6;-16.3829588;-71.5375993;-1939182.9;2838385.385
1.27.1-7; ; ;-1.516416327;20763369.87
1.27.1-7;-16.3837487;-71.53795056;-1939271.265;2838335.256
1.27.1-7;-16.38356334;-71.53789833;-1939250.149;2838343.595
1.27.1-7;-16.38358258;-71.53781473;-1939253.461;2838352.823
1.27.1-7;-16.38326473;-71.53769509;-1939217.631;2838370.534
1.27.1-7;-16.38311281;-71.53826338;-1939192.633;2838308.073
1.27.1-7;-16.38363881;-71.53842752;-1939252.355;2838282.604
1.27.1-8; ; ;-1.516416327;20763369.87
1.27.1-8;-16.38390972;-71.53784513;-1939291.506;2838345.112
1.27.1-8;-16.38379698;-71.53777484;-1939279.147;2838354.552
1.27.1-8;-16.38364822;-71.53843025;-1939253.425;2838282.172
1.27.1-8;-16.38385983;-71.53848989;-1939277.531;2838272.651
1.27.1-8;-16.38402218;-71.53791444;-1939303.844;2838335.786
1.27.1-9; ; ;-1.516416327;20763369.87
1.27.1-9;-16.3846997;-71.5382248;-1939379.523;2838291.76
1.27.1-9;-16.38422202;-71.53802833;-1939325.885;2838320.267
1.27.1-9;-16.38413311;-71.53832241;-1939311.74;2838288.078
1.27.1-9;-16.38402513;-71.53826957;-1939299.721;2838295.479
1.27.1-9;-16.38394853;-71.53851388;-1939287.649;2838268.774
1.27.1-9;-16.38455986;-71.53869611;-1939357.165;2838240.14
1.27.1-10; ; ;-1.516416327;20763369.87
1.27.1-10;-16.38465095;-71.53784541;-1939378.571;2838335.416
1.27.1-10;-16.38413173;-71.53752395;-1939321.627;2838378.638
1.27.1-10;-16.38393539;-71.53747924;-1939299.127;2838386.267
1.27.1-10;-16.38384276;-71.53775941;-1939284.719;2838355.705
1.27.1-10;-16.38471549;-71.53820047;-1939381.684;2838294.313
1.27.1-10;-16.38482598;-71.53787829;-1939398.717;2838329.405
1.27.1-10;-16.38470436;-71.53781476;-1939385.231;2838338.195
1.27.1-11; ; ;-1.516416327;20763369.87
1.27.1-11;-16.38441667;-71.53763962;-1939353.642;2838361.806
1.27.1-11;-16.38472112;-71.53776912;-1939387.775;2838343.153
1.27.1-11;-16.38472715;-71.53780396;-1939388.043;2838339.123
1.27.1-11;-16.38483096;-71.53785494;-1939399.596;2838331.989
1.27.1-11;-16.38508839;-71.53727339;-1939437.154;2838394.576
1.27.1-11;-16.38422292;-71.53697464;-1939339.252;2838439.737
1.27.1-11;-16.383912;-71.53687703;-1939303.959;2838454.859
1.27.1-11;-16.38383957;-71.53715355;-1939291.971;2838424.448
1.27.1-11;-16.38380192;-71.53740695;-1939284.359;2838396.204
1.27.1-11;-16.38391762;-71.5374534;-1939297.364;2838389.429
1.27.1-11;-16.38405407;-71.53747355;-1939313.139;2838385.365
1.27.1-11;-16.38407838;-71.53741489;-1939316.732;2838391.7
1.27.1-11;-16.38443665;-71.53754575;-1939357.17;2838372.19
1.27.1-12; ; ;-1.516416327;20763369.87
1.27.1-12;-16.38382842;-71.53715017;-1939290.703;2838424.977
1.27.1-12;-16.38390285;-71.53686809;-1939302.997;2838455.992
1.27.1-12;-16.38344057;-71.53676598;-1939249.979;2838473.598
1.27.1-12;-16.38325483;-71.53717165;-1939223.056;2838430.018
1.27.1-12;-16.38378948;-71.53741005;-1939282.858;2838396.015
1.27.1-13; ; ;-1.516416327;20763369.87
1.27.1-13;-16.38314324;-71.53753478;-1939205.377;2838390.296
1.27.1-13;-16.38381779;-71.53775506;-1939281.841;2838356.524
1.27.1-13;-16.38390957;-71.53746755;-1939296.241;2838387.929
1.27.1-13;-16.38325894;-71.53720256;-1939223.149;2838426.46
1.27.1-13;-16.38322517;-71.53739927;-1939216.707;2838404.595
1.27.1-14; ; ;-1.516416327;20763369.87
1.27.1-14;-16.38260396;-71.53728343;-1939145.194;2838425.829
1.27.1-14;-16.38270731;-71.537389;-1939156.005;2838412.51
1.27.1-14;-16.38311681;-71.53753199;-1939202.308;2838390.957
1.27.1-14;-16.38321096;-71.53738436;-1939215.225;2838406.471
1.27.1-14;-16.3832451;-71.53721482;-1939221.37;2838425.25
1.27.1-14;-16.38324298;-71.53717679;-1939221.599;2838429.59
1.27.1-14;-16.38344457;-71.53673425;-1939250.848;2838477.144
1.27.1-14;-16.38318716;-71.536639;-1939221.81;2838491.301
1.27.1-14;-16.3830966;-71.53662321;-1939211.372;2838494.272
1.27.1-14;-16.3829378;-71.5365836;-1939193.216;2838500.834
1.27.1-14;-16.38287155;-71.5365639;-1939185.682;2838503.932
1.27.1-14;-16.38278105;-71.53657661;-1939174.891;2838503.671
1.27.1-14;-16.38252949;-71.53649373;-1939146.384;2838516.349
1.27.1-14;-16.38237064;-71.53698051;-1939121.599;2838463.22
1.27.1-14;-16.3822267;-71.53723137;-1939101.534;2838436.65
1.27.1-14;-16.38247418;-71.53725743;-1939130.276;2838430.469
1.27.2-1; ; ;-1.516416327;20763369.87
1.27.2-1;-16.38281976;-71.53638542;-1939181.844;2838524.845
1.27.2-1;-16.3828463;-71.5362475;-1939186.698;2838540.14
1.27.2-1;-16.38181276;-71.53586125;-1939070.153;2838597.414
1.27.2-1;-16.38173099;-71.53614196;-1939057.015;2838566.648
1.27.2-1;-16.38234786;-71.53632136;-1939127.218;2838538.263
