ident;lat;long;y_proj;x_proj
1.18.1-1; ; ;-1.516416327;20763369.87
1.18.1-1;-16.43915612;-71.59098999;-1945110.999;2831600.469
1.18.1-1;-16.43861232;-71.59055741;-1945052.589;2831656.58
1.18.1-1;-16.43852101;-71.59073229;-1945039.667;2831637.953
1.18.1-1;-16.43908854;-71.59118981;-1945100.549;2831578.707
1.18.1-2; ; ;-1.516416327;20763369.87
1.18.1-2;-16.43921169;-71.59074952;-1945120.55;2831626.995
1.18.1-2;-16.43874663;-71.59036869;-1945070.735;2831676.215
1.18.1-2;-16.43862919;-71.59053743;-1945054.821;2831658.624
1.18.1-2;-16.43916057;-71.59094994;-1945112.026;2831604.95
1.18.1-3; ; ;-1.516416327;20763369.87
1.18.1-3;-16.43921659;-71.59065523;-1945122.312;2831637.616
1.18.1-3;-16.43925784;-71.59058439;-1945128.048;2831645.105
1.18.1-3;-16.43929846;-71.59042245;-1945134.855;2831662.926
1.18.1-3;-16.43892174;-71.59009337;-1945094.761;2831705.13
1.18.1-3;-16.43880533;-71.59029259;-1945078.586;2831684.073
1.18.1-4; ; ;-1.516416327;20763369.87
1.18.1-4;-16.43827313;-71.58985739;-1945021.57;2831740.329
1.18.1-4;-16.43877224;-71.59027064;-1945074.975;2831686.991
1.18.1-4;-16.4388981;-71.590081;-1945092.141;2831706.84
1.18.1-4;-16.43853204;-71.58977707;-1945052.983;2831746.055
1.18.1-4;-16.43842044;-71.5896941;-1945040.922;2831756.912
1.18.1-4;-16.43798523;-71.58937205;-1944993.872;2831799.082
1.18.1-4;-16.43793029;-71.58938114;-1944987.306;2831798.769
1.18.1-4;-16.43784518;-71.58952613;-1944975.487;2831783.448
1.18.1-5; ; ;-1.516416327;20763369.87
1.18.1-5;-16.43785459;-71.59012515;-1944969.055;2831715.444
1.18.1-5;-16.43796402;-71.59011202;-1944982.069;2831715.505
1.18.1-5;-16.43827922;-71.5899396;-1945021.25;2831730.934
1.18.1-5;-16.43814128;-71.5898059;-1945006.736;2831747.883
1.18.1-5;-16.43797358;-71.58988059;-1944986.105;2831741.606
1.18.1-5;-16.43788797;-71.58992076;-1944975.546;2831738.17
1.18.1-5;-16.43746939;-71.5899428;-1944926.119;2831741.131
1.18.1-5;-16.43749165;-71.59014996;-1944926.125;2831717.365
1.18.1-6; ; ;-1.516416327;20763369.87
1.18.1-6;-16.43795951;-71.59032845;-1944978.817;2831691.037
1.18.1-6;-16.43832283;-71.59017766;-1945023.375;2831703.388
1.18.1-6;-16.43850834;-71.59010041;-1945046.13;2831709.723
1.18.1-6;-16.4383285;-71.58997638;-1945026.574;2831726.123
1.18.1-6;-16.43804347;-71.59010313;-1944991.511;2831715.476
1.18.1-6;-16.43795298;-71.59016112;-1944980.156;2831710.084
1.18.1-6;-16.43750928;-71.59017535;-1944927.876;2831714.257
1.18.1-6;-16.43752351;-71.59036167;-1944927.203;2831692.958
1.18.1-7; ; ;-1.516416327;20763369.87
1.18.1-7;-16.4379744;-71.59062406;-1944976.845;2831657.345
1.18.1-7;-16.43845364;-71.59043912;-1945035.445;2831672.054
1.18.1-7;-16.438512;-71.59044096;-1945042.275;2831671.084
1.18.1-7;-16.43855961;-71.59046886;-1945047.514;2831667.302
1.18.1-7;-16.43860644;-71.59051224;-1945052.467;2831661.775
1.18.1-7;-16.43873955;-71.59033133;-1945070.373;2831680.54
1.18.1-7;-16.4385242;-71.59018134;-1945046.975;2831700.345
1.18.1-7;-16.4384603;-71.59017636;-1945039.534;2831701.742
1.18.1-7;-16.43838648;-71.59019356;-1945030.65;2831700.756
1.18.1-7;-16.43830971;-71.59022958;-1945021.181;2831697.675
1.18.1-7;-16.43811905;-71.59032364;-1944997.61;2831689.502
1.18.1-7;-16.43794507;-71.59039844;-1944976.24;2831683.294
1.18.1-7;-16.43780687;-71.59040275;-1944959.958;2831684.608
1.18.1-7;-16.43767977;-71.59039626;-1944945.115;2831687.001
1.18.1-7;-16.4375337;-71.59038767;-1944928.072;2831689.879
1.18.1-7;-16.4375584;-71.5906495;-1944927.678;2831659.886
1.18.1-8; ; ;-1.516416327;20763369.87
1.18.1-8;-16.43792589;-71.59085374;-1944968.259;2831631.95
1.18.1-8;-16.43803364;-71.59086568;-1944980.76;2831629.193
1.18.1-8;-16.43826651;-71.59077427;-1945009.254;2831636.514
1.18.1-8;-16.43835013;-71.59073717;-1945019.54;2831639.629
1.18.1-8;-16.4384751;-71.59071625;-1945034.478;2831640.37
1.18.1-8;-16.43858486;-71.59053885;-1945049.598;2831659.042
1.18.1-8;-16.43851709;-71.59048763;-1945042.286;2831665.729
1.18.1-8;-16.43846965;-71.59046824;-1945036.959;2831668.545
1.18.1-8;-16.43842172;-71.59048443;-1945031.127;2831667.335
1.18.1-8;-16.43828403;-71.59053059;-1945014.378;2831663.9
1.18.1-8;-16.43810864;-71.5906158;-1944992.711;2831656.531
1.18.1-8;-16.43796453;-71.59066479;-1944975.174;2831652.858
1.18.1-8;-16.43778355;-71.59068276;-1944953.697;2831653.182
1.18.1-8;-16.43755662;-71.59069406;-1944926.908;2831654.86
1.18.1-8;-16.43757505;-71.59088696;-1944926.644;2831632.76
1.18.1-9; ; ;-1.516416327;20763369.87
