ident;lat;long;y_proj;x_proj
1.4.120-2; ; ;-1.516416327;20763369.87
1.4.120-2;-16.3393017;-71.58995138;-1933398.205;2833016.526
1.4.120-2;-16.33895436;-71.59018692;-1933354.467;2832994.32
1.4.120-2;-16.33874394;-71.59031516;-1933328.15;2832982.507
1.4.120-2;-16.33842984;-71.59051412;-1933288.772;2832964.018
1.4.120-2;-16.33818797;-71.59063586;-1933258.844;2832953.348
1.4.120-2;-16.33804807;-71.59070496;-1933241.55;2832947.327
1.4.120-2;-16.3371579;-71.59107035;-1933132.437;2832917.432
1.4.120-2;-16.33747862;-71.59141673;-1933165.766;2832873.998
1.4.120-2;-16.33797949;-71.59116478;-1933227.741;2832896.075
1.4.120-2;-16.33860281;-71.59082267;-1933305.224;2832926.788
1.4.120-2;-16.33903145;-71.59054312;-1933359.061;2832952.931
1.4.120-2;-16.33944973;-71.59020508;-1933412.414;2832985.839
1.4.120-2;-16.33990045;-71.589722;-1933471.393;2833034.773
1.4.120-2;-16.34021425;-71.5893358;-1933513.08;2833074.498
1.4.120-2;-16.34003511;-71.58918456;-1933493.936;2833093.969
1.4.120-2;-16.33974077;-71.58952585;-1933455.097;2833059.086
1.4.120-3; ; ;-1.516416327;20763369.87
1.4.120-3;-16.33572459;-71.59158581;-1932957.663;2832877.561
1.4.120-3;-16.33538967;-71.59173778;-1932916.428;2832864.668
1.4.120-3;-16.33508835;-71.59192303;-1932878.724;2832847.567
1.4.120-3;-16.33511064;-71.59197187;-1932880.73;2832841.74
1.4.120-3;-16.33307253;-71.59262082;-1932633.261;2832794.564
1.4.120-3;-16.33308742;-71.59270806;-1932633.918;2832784.479
1.4.120-3;-16.3316956;-71.5932506;-1932463.68;2832740.99
1.4.120-3;-16.33210444;-71.59433446;-1932498.132;2832612.787
1.4.120-3;-16.33322085;-71.59370842;-1932637.07;2832669.312
1.4.120-3;-16.3344723;-71.59312335;-1932791.357;2832719.44
1.4.120-3;-16.33591976;-71.5923077;-1932971.548;2832793.172
1.4.120-3;-16.33648568;-71.59198258;-1933042.076;2832822.704
1.4.120-3;-16.33742852;-71.59146307;-1933159.302;2832869.393
1.4.120-3;-16.33704931;-71.5911003;-1933119.31;2832915.445
1.4.120-3;-16.33612975;-71.5914503;-1933006.939;2832887.676
1.4.120-4; ; ;-1.516416327;20763369.87
1.4.120-4;-16.33156256;-71.59333196;-1932447.037;2832733.488
1.4.120-4;-16.3312171;-71.59348402;-1932404.566;2832720.721
1.4.120-4;-16.33163442;-71.59455145;-1932440.22;2832594.271
1.4.120-4;-16.33197151;-71.5943847;-1932481.893;2832608.812
1.4.120-5; ; ;-1.516416327;20763369.87
1.4.120-5;-16.33108049;-71.5949161;-1932370.607;2832560.097
1.4.120-5;-16.33160988;-71.5946297;-1932436.359;2832585.715
1.4.120-5;-16.33116281;-71.5934911;-1932398.101;2832720.622
1.4.120-5;-16.33047735;-71.59375272;-1932314.331;2832699.835
1.4.120-5;-16.32977563;-71.59401888;-1932228.594;2832678.743
1.4.120-5;-16.32925749;-71.59421757;-1932165.26;2832662.925
1.4.120-5;-16.32912727;-71.59427118;-1932149.297;2832658.532
1.4.120-5;-16.32932516;-71.59491691;-1932164.459;2832582.744
1.4.120-5;-16.32955927;-71.59564195;-1932182.883;2832497.494
1.4.121-1; ; ;-1.516416327;20763369.87
1.4.121-1;-16.32919186;-71.594679;-1932151.78;2832611.45
1.4.121-1;-16.32907214;-71.59434665;-1932141.878;2832650.689
1.4.121-1;-16.32828562;-71.59465161;-1932045.698;2832626.295
1.4.121-1;-16.32842638;-71.59502545;-1932057.552;2832582.079
1.4.121-1;-16.32916441;-71.59473315;-1932147.879;2832605.665
1.4.121-2; ; ;-1.516416327;20763369.87
1.4.121-2;-16.32871668;-71.59542207;-1932086.683;2832533.342
1.4.121-2;-16.32934655;-71.59515278;-1932164.02;2832555.72
1.4.121-2;-16.32922006;-71.59477999;-1932153.828;2832599.632
1.4.121-2;-16.32844576;-71.59507881;-1932059.161;2832575.776
1.4.121-2;-16.328574;-71.59546267;-1932069.42;2832530.586
1.4.121-3; ; ;-1.516416327;20763369.87
1.4.121-3;-16.32934781;-71.59573201;-1932156.924;2832490.02
1.4.121-3;-16.32951318;-71.59562642;-1932177.665;2832499.851
1.4.121-3;-16.32936853;-71.59520443;-1932165.956;2832549.578
1.4.121-3;-16.32901149;-71.59535392;-1932122.157;2832537.251
1.4.121-3;-16.32915574;-71.59580306;-1932133.479;2832484.451
1.4.121-4; ; ;-1.516416327;20763369.87
1.4.121-4;-16.3291343;-71.59585607;-1932130.298;2832478.718
1.4.121-4;-16.32898786;-71.59537911;-1932119.066;2832534.701
1.4.121-4;-16.32816714;-71.59568011;-1932018.92;2832511.198
1.4.121-4;-16.3283887;-71.59624346;-1932037.894;2832444.445
1.4.121-5; ; ;-1.516416327;20763369.87
1.4.121-5;-16.32850348;-71.59549575;-1932060.724;2832527.749
