ident;lat;long;y_proj;x_proj
1.29.26-1; ; ;-1.516416327;20763369.87
1.29.26-1;-16.29530346;-71.6282067;-1927753.751;2829247.536
1.29.26-1;-16.29506028;-71.62794631;-1927728.441;2829280.203
1.29.26-1;-16.29465392;-71.62841682;-1927674.864;2829232.09
1.29.26-1;-16.29503262;-71.62855655;-1927717.589;2829211.357
1.29.26-2; ; ;-1.516416327;20763369.87
1.29.26-2;-16.29458811;-71.62757474;-1927677.629;2829328.432
1.29.26-2;-16.29400078;-71.62820079;-1927600.864;2829265.015
1.29.26-2;-16.29447996;-71.62842708;-1927654.309;2829233.17
1.29.26-2;-16.29495511;-71.62790909;-1927716.556;2829285.781
1.29.26-3; ; ;-1.516416327;20763369.87
1.29.26-3;-16.29440006;-71.62721999;-1927659.97;2829371.088
1.29.26-3;-16.2950568;-71.62783096;-1927729.47;2829293.329
1.29.26-3;-16.29472407;-71.62687081;-1927702.367;2829406.506
1.29.26-4; ; ;-1.516416327;20763369.87
1.29.26-4;-16.29433413;-71.62715857;-1927652.993;2829378.905
1.29.26-4;-16.2946806;-71.62677205;-1927698.493;2829418.267
1.29.26-4;-16.29444715;-71.62630527;-1927676.899;2829474.214
1.29.26-4;-16.29396204;-71.62680712;-1927613.683;2829423.562
1.29.26-5; ; ;-1.516416327;20763369.87
1.29.26-5;-16.29423918;-71.62724257;-1927640.798;2829370.604
1.29.26-5;-16.29389018;-71.62690933;-1927603.972;2829412.898
1.29.26-5;-16.29334729;-71.62752945;-1927532.497;2829349.579
1.29.26-5;-16.29369848;-71.62788102;-1927569.353;2829305.178
1.29.26-6; ; ;-1.516416327;20763369.87
1.29.26-6;-16.29326556;-71.62744239;-1927523.985;2829360.506
1.29.26-6;-16.29379077;-71.62680821;-1927593.558;2829425.648
1.29.26-6;-16.29351496;-71.62654542;-1927564.448;2829459.008
1.29.26-6;-16.29296568;-71.62716575;-1927492.221;2829395.747
1.29.26-7; ; ;-1.516416327;20763369.87
1.29.26-7;-16.29359422;-71.62645069;-1927574.935;2829468.729
1.29.26-7;-16.29388594;-71.62673118;-1927605.694;2829433.156
1.29.26-7;-16.29438252;-71.62615107;-1927671.232;2829492.534
1.29.26-7;-16.29431643;-71.62595237;-1927665.948;2829515.92
1.29.26-7;-16.29417086;-71.62579775;-1927650.781;2829535.334
1.29.26-8; ; ;-1.516416327;20763369.87
1.29.26-8;-16.29389467;-71.6254551;-1927622.621;2829577.756
1.29.26-8;-16.2942831;-71.62583822;-1927663.456;2829529.296
1.29.26-8;-16.29450364;-71.62605898;-1927686.601;2829501.414
1.29.26-8;-16.29445046;-71.62586593;-1927682.763;2829523.993
1.29.26-8;-16.29409227;-71.62523598;-1927648.555;2829600.055
1.29.26-9; ; ;-1.516416327;20763369.87
1.29.26-9;-16.29381553;-71.62549052;-1927612.887;2829574.76
1.29.26-9;-16.29323506;-71.62613687;-1927536.673;2829508.951
1.29.26-9;-16.29353618;-71.62640246;-1927568.721;2829474.947
1.29.26-9;-16.29409858;-71.62575288;-1927642.854;2829541.354
1.29.26-10; ; ;-1.516416327;20763369.87
1.29.26-10;-16.29291115;-71.62713233;-1927486.235;2829400.241
1.29.26-10;-16.29346504;-71.62649771;-1927559.181;2829465.063
1.29.26-10;-16.29318401;-71.62624151;-1927529.375;2829497.744
1.29.26-10;-16.29260798;-71.62683616;-1927454.327;2829437.74
1.29.26-11; ; ;-1.516416327;20763369.87
1.29.26-11;-16.29231993;-71.62646291;-1927425.155;2829483.785
1.29.26-11;-16.29254368;-71.6267621;-1927447.699;2829446.969
1.29.26-11;-16.2930961;-71.62615592;-1927520.119;2829508.584
1.29.26-11;-16.29276427;-71.62582046;-1927485.336;2829550.909
1.29.26-12; ; ;-1.516416327;20763369.87
1.29.26-12;-16.29350138;-71.62521148;-1927579.478;2829610.458
1.29.26-12;-16.29321663;-71.62494079;-1927549.415;2829644.831
1.29.26-12;-16.29271583;-71.62541776;-1927484.666;2829597.202
1.29.26-12;-16.29296138;-71.62568056;-1927510.223;2829564.231
1.29.26-13; ; ;-1.516416327;20763369.87
1.29.26-13;-16.29302975;-71.6257368;-1927517.552;2829556.97
1.29.26-13;-16.29329641;-71.62594727;-1927546.239;2829529.661
1.29.26-13;-16.29376678;-71.62545737;-1927607.577;2829579.148
1.29.26-13;-16.29353774;-71.62524966;-1927583.271;2829605.659
1.29.26-14; ; ;-1.516416327;20763369.87
1.29.26-14;-16.29381601;-71.625364;-1927614.521;2829589.102
1.29.26-14;-16.29405322;-71.62503304;-1927646.499;2829623.573
1.29.26-14;-16.29382337;-71.62467569;-1927623.964;2829667.064
1.29.26-14;-16.29353763;-71.62508824;-1927585.27;2829623.967
1.29.26-15; ; ;-1.516416327;20763369.87
1.29.26-15;-16.29379674;-71.62460692;-1927621.693;2829675.208
1.29.26-15;-16.29363793;-71.62449533;-1927604.437;2829689.911
1.29.26-15;-16.29346916;-71.62438422;-1927586.004;2829704.69
1.29.26-15;-16.29321192;-71.62480982;-1927550.494;2829659.745
1.29.26-15;-16.29349571;-71.62505584;-1927580.751;2829628.182
