ident;lat;long;y_proj;x_proj
1.4.217-1; ; ;-1.516416327;20763369.87
1.4.217-1;-16.31966638;-71.56811694;-1931365.471;2835747.312
1.4.217-1;-16.31969105;-71.56846335;-1931364.032;2835707.701
1.4.217-1;-16.32086087;-71.56853822;-1931500.495;2835684.041
1.4.217-1;-16.32084457;-71.56810535;-1931504;2835733.349
1.4.217-2; ; ;-1.516416327;20763369.87
1.4.217-2;-16.32084801;-71.5678144;-1931508.048;2835766.305
1.4.217-2;-16.31967772;-71.56783561;-1931370.325;2835779.074
1.4.217-2;-16.3196771;-71.56805021;-1931367.566;2835754.741
1.4.217-2;-16.32085085;-71.56804243;-1931505.526;2835740.404
1.4.217-3; ; ;-1.516416327;20763369.87
1.4.217-3;-16.3208499;-71.56731312;-1931514.548;2835823.136
1.4.217-3;-16.3196732;-71.56733384;-1931376.078;2835836.045
1.4.217-3;-16.31967517;-71.56775394;-1931371.05;2835788.37
1.4.217-3;-16.32084902;-71.56774244;-1931509.068;2835774.453
1.4.217-4; ; ;-1.516416327;20763369.87
1.4.217-4;-16.31961612;-71.56776153;-1931364.019;2835788.275
1.4.217-4;-16.31961422;-71.56732347;-1931369.28;2835837.985
1.4.217-4;-16.31842453;-71.5673331;-1931229.423;2835852.319
1.4.217-4;-16.31841459;-71.56776864;-1931222.803;2835803.047
1.4.217-5; ; ;-1.516416327;20763369.87
1.4.217-5;-16.31960625;-71.56781831;-1931362.149;2835781.962
1.4.217-5;-16.31841709;-71.56784402;-1931222.153;2835794.466
1.4.217-5;-16.31842168;-71.56824958;-1931217.614;2835748.406
1.4.217-5;-16.31960744;-71.56825063;-1931356.875;2835732.913
1.4.217-6; ; ;-1.516416327;20763369.87
1.4.217-6;-16.31960241;-71.56830424;-1931355.612;2835726.898
1.4.217-6;-16.31861415;-71.56831723;-1931239.374;2835738.238
1.4.217-6;-16.3186041;-71.56841047;-1931237.026;2835727.792
1.4.217-6;-16.31902559;-71.56850599;-1931285.336;2835711.493
1.4.217-6;-16.31958758;-71.56851413;-1931351.243;2835703.283
1.4.217-7; ; ;-1.516416327;20763369.87
1.4.217-7;-16.31834625;-71.56782905;-1931214.02;2835797.082
1.4.217-7;-16.31716137;-71.56784087;-1931074.7;2835811.103
1.4.217-7;-16.31716693;-71.56827687;-1931069.896;2835761.578
1.4.217-7;-16.31835132;-71.56826184;-1931209.197;2835747.928
1.4.217-8; ; ;-1.516416327;20763369.87
1.4.217-8;-16.31835968;-71.56733284;-1931221.811;2835853.19
1.4.217-8;-16.31718086;-71.56734455;-1931083.204;2835867.145
1.4.217-8;-16.31716441;-71.5677716;-1931075.925;2835818.921
1.4.217-8;-16.31834971;-71.56776169;-1931215.27;2835804.677
1.4.217-9; ; ;-1.516416327;20763369.87
1.4.217-9;-16.31706829;-71.56737397;-1931069.613;2835865.267
1.4.217-9;-16.31677647;-71.5673549;-1931035.577;2835871.214
1.4.217-9;-16.31679003;-71.56826903;-1931025.725;2835767.354
1.4.217-9;-16.31707651;-71.56826185;-1931059.463;2835764.454
1.4.217-10; ; ;-1.516416327;20763369.87
1.4.217-10;-16.31812606;-71.5668318;-1931200.643;2835913.049
1.4.217-10;-16.31746433;-71.56684439;-1931122.762;2835920.2
1.4.217-10;-16.31731225;-71.56685609;-1931104.752;2835920.846
1.4.217-10;-16.31723966;-71.56690885;-1931095.566;2835915.802
1.4.217-10;-16.31719622;-71.56696133;-1931089.807;2835910.413
1.4.217-10;-16.31718922;-71.56704989;-1931087.875;2835900.459
1.4.217-10;-16.31718748;-71.56715762;-1931086.322;2835888.261
1.4.217-10;-16.31718603;-71.56724787;-1931085.021;2835878.044
1.4.217-10;-16.31810311;-71.56724726;-1931192.746;2835866.223
1.4.217-11; ; ;-1.516416327;20763369.87
1.4.217-11;-16.31772449;-71.56675816;-1931154.399;2835926.608
1.4.217-11;-16.31839278;-71.56677348;-1931232.701;2835916.205
1.4.217-11;-16.31838806;-71.56625212;-1931238.675;2835975.401
1.4.217-11;-16.31816626;-71.56632952;-1931211.654;2835969.499
1.4.217-11;-16.31815088;-71.5665298;-1931207.34;2835946.981
1.4.217-11;-16.31772862;-71.56655157;-1931157.47;2835949.987
1.4.217-12; ; ;-1.516416327;20763369.87
1.4.217-12;-16.3183572;-71.56683042;-1931227.81;2835910.208
1.4.217-12;-16.31815007;-71.56682938;-1931203.494;2835913.012
1.4.217-12;-16.31815259;-71.56723746;-1931198.68;2835866.693
1.4.217-12;-16.31834317;-71.56723618;-1931221.081;2835864.367
1.4.217-13; ; ;-1.516416327;20763369.87
1.4.217-13;-16.31961301;-71.56680858;-1931375.585;2835896.402
1.4.217-13;-16.31841755;-71.56682296;-1931234.992;2835910.272
1.4.217-13;-16.31841699;-71.56724594;-1931229.63;2835862.303
1.4.217-13;-16.31961658;-71.56724989;-1931370.479;2835846.3
1.4.217-14; ; ;-1.516416327;20763369.87
1.4.217-14;-16.31966841;-71.56681149;-1931382.056;2835895.353
1.4.217-14;-16.31966407;-71.56724796;-1931376.081;2835845.904
1.4.217-14;-16.32084558;-71.56722252;-1931515.174;2835833.468
1.4.217-14;-16.32084543;-71.56681263;-1931520.29;2835879.961
1.4.217-15; ; ;-1.516416327;20763369.87
1.4.217-15;-16.32081614;-71.56662558;-1931519.192;2835901.557
1.4.217-15;-16.32083457;-71.56631078;-1931525.298;2835937.023
1.4.217-15;-16.31968444;-71.56633222;-1931389.94;2835949.505
1.4.217-15;-16.31968402;-71.5667403;-1931384.781;2835903.225
1.4.217-15;-16.3208201;-71.56673392;-1931518.3;2835889.216
1.4.217-16; ; ;-1.516416327;20763369.87
1.4.217-16;-16.31961548;-71.56631177;-1931382.096;2835952.719
1.4.217-16;-16.31897268;-71.56634601;-1931306.167;2835957.172
1.4.217-16;-16.31897247;-71.56675918;-1931300.969;2835910.311
1.4.217-16;-16.31962041;-71.56675448;-1931377.133;2835902.442
1.4.217-17; ; ;-1.516416327;20763369.87
1.4.217-17;-16.31960776;-71.56580868;-1931387.49;2836009.882
1.4.217-17;-16.31844986;-71.56585908;-1931250.856;2836019.18
1.4.217-17;-16.31843612;-71.566276;-1931244.021;2835972.07
1.4.217-17;-16.31960871;-71.56625874;-1931381.966;2835958.822
1.4.217-18; ; ;-1.516416327;20763369.87
1.4.217-18;-16.32058502;-71.56622376;-1931497.077;2835950.129
