"block_id","user_std","date_clean","lat","long","type_house_std","raise_dog_house","number_dog_house","number_dog_vaccinated_2024","number_dog_vaccinated_sweep"
"1.5.7-8","VP06",2024-12-14 08:35:31.353524,"-16.4710353","-71.484339700000007","C",NA,0,0,0
"1.16.4-89","VP02",2024-12-14 08:35:34.123213,"-16.525645300000001","-71.482937199999995","P","si",4,4,0
"1.16.4-89","VP02",2024-12-14 08:35:44.156351,"-16.525646900000002","-71.482939400000006","C",NA,0,0,0
"1.5.5-5","VP06",2024-12-14 08:35:44.923163,"-16.4710888","-71.484348800000006","R",NA,0,0,0
"1.5.7-12","VP06",2024-12-14 08:36:14.50569,"-16.471293599999999","-71.484343600000003","C",NA,0,0,0
"1.5.4-15","VP04",2024-12-14 08:36:35.030632,"-16.46912","-71.481928600000003","P","si",3,3,0
"1.5.4-16","VP04",2024-12-14 08:36:43.264999,"-16.4691039","-71.481847700000003","C",NA,0,0,0
"1.5.7-8","VP06",2024-12-14 08:36:43.729006,"-16.471384799999999","-71.484330099999994","D",NA,0,0,0
"1.5.7-8","VP06",2024-12-14 08:37:04.427066,"-16.471171900000002","-71.484344100000001","C",NA,0,0,0
"1.5.4-15","VP04",2024-12-14 08:37:45.723168,"-16.4691449","-71.481538700000002","LV",NA,0,0,0
"1.5.4-16","VP04",2024-12-14 08:37:54.07388,"-16.4691212","-71.481760499999993","C",NA,0,0,0
"1.5.4-16","VP04",2024-12-14 08:37:58.506683,"-16.469112200000001","-71.481750300000002","C",NA,0,0,0
"1.5.4-16","VP04",2024-12-14 08:38:26.856403,"-16.4690975","-71.481742600000004","C",NA,0,0,0
"1.5.4-16","VP04",2024-12-14 08:38:41.739535,"-16.4691422","-71.481676699999994","C",NA,0,0,0
"1.5.4-16","VP04",2024-12-14 08:39:25.626287,"-16.469151499999999","-71.481639099999995","P","si",1,1,0
"1.5.4-16","VP04",2024-12-14 08:39:45.61318,"-16.4691525","-71.481626399999996","C",NA,0,0,0
"1.16.4-91","VP02",2024-12-14 08:39:48.347288,"-16.526018799999999","-71.482865500000003","P","si",2,0,2
"1.5.4-16","VP04",2024-12-14 08:40:53.941939,"-16.469059399999999","-71.481436500000001","LV",NA,0,0,0
"1.5.4-15","VP04",2024-12-14 08:41:00.843904,"-16.469155300000001","-71.4812218","C",NA,0,0,0
"1.16.4-90","VP02",2024-12-14 08:41:23.406384,"-16.525954800000001","-71.482791300000002","C",NA,0,0,0
"1.16.4-88","VP02",2024-12-14 08:41:30.206465,"-16.525985899999998","-71.482870199999994","P","si",1,0,1
"1.5.4-15","VP04",2024-12-14 08:42:05.440639,"-16.4691878","-71.4811598","C",NA,0,0,0
"1.5.4-15","VP04",2024-12-14 08:42:09.039443,"-16.4691878","-71.4811598","C",NA,0,0,0
"1.5.4-15","VP04",2024-12-14 08:42:19.891168,"-16.4691869","-71.481179400000002","C",NA,0,0,0
"1.16.11-1","VP03",2024-12-14 08:42:42.827406,"-16.531244900000001","-71.482244300000005","P","si",4,3,3
"1.5.4-16","VP04",2024-12-14 08:43:10.968062,"-16.469162399999998","-71.481091699999993","C",NA,0,0,0
"1.12.1-8","VP01",2024-12-14 08:43:15.377992,"-16.503240900000002","-71.499250099999998","P","si",4,4,4
"1.5.4-15","VP04",2024-12-14 08:43:22.945214,"-16.4691306","-71.481014700000003","C",NA,0,0,0
"1.16.4-88","VP02",2024-12-14 08:44:56.812741,"-16.526354099999999","-71.482736799999998","P","si",2,0,2
"1.5.4-15","VP04",2024-12-14 08:46:02.624092,"-16.469031900000001","-71.4806478","C",NA,0,0,0
"1.5.4-16","VP04",2024-12-14 08:46:07.025788,"-16.4690379","-71.480655200000001","P","no",0,0,0
"1.5.4-14","VP04",2024-12-14 08:46:12.792268,"-16.469043299999999","-71.480670900000007","C",NA,0,0,0
"1.5.4-14","VP04",2024-12-14 08:46:16.090659,"-16.469054","-71.480670900000007","C",NA,0,0,0
"1.5.4-14","VP04",2024-12-14 08:46:26.025253,"-16.469060299999999","-71.480664500000003","P","si",1,0,1
"1.16.4-88","VP02",2024-12-14 08:48:08.465761,"-16.5262086","-71.482791800000001","P","si",1,0,1
"1.12.5-60","VP08",2024-12-14 08:48:31.723624,"-16.489387700000002","-71.4910967","P","si",4,0,4
"1.16.4-91","VP02",2024-12-14 08:48:53.496532,"-16.526273","-71.482830699999994","P","si",1,0,1
"1.16.4-88","VP02",2024-12-14 08:49:57.358787,"-16.5266144","-71.482742999999999","D",NA,0,0,0
"1.16.4-88","VP02",2024-12-14 08:50:02.608318,"-16.526609300000001","-71.482736299999999","D",NA,0,0,0
"1.16.4-91","VP02",2024-12-14 08:50:08.008841,"-16.526623799999999","-71.482742299999998","D",NA,0,0,0
"1.16.4-91","VP02",2024-12-14 08:50:12.75955,"-16.526661799999999","-71.482736099999997","C",NA,0,0,0
"1.16.4-91","VP02",2024-12-14 08:50:18.775612,"-16.526684599999999","-71.482707899999994","C",NA,0,0,0
"1.16.4-88","VP02",2024-12-14 08:50:35.309086,"-16.5267819","-71.482698799999994","C",NA,0,0,0
"1.5.4-14","VP04",2024-12-14 08:51:25.253585,"-16.469197699999999","-71.480170900000005","C",NA,0,0,0
"1.16.14-3","VP03",2024-12-14 08:51:25.866275,"-16.5311503","-71.481843600000005","P","si",7,6,6
"1.5.4-14","VP04",2024-12-14 08:51:28.587301,"-16.469197699999999","-71.480170900000005","C",NA,0,0,0
"1.5.4-16","VP04",2024-12-14 08:51:32.219995,"-16.469167200000001","-71.480161100000004","C",NA,0,0,0
"1.16.11-2","VP03",2024-12-14 08:52:34.213462,"-16.531136799999999","-71.481937000000002","P","si",2,2,2
"1.5.5-5","VP06",2024-12-14 08:54:07.475784,"-16.471549799999998","-71.484253600000002","P","si",3,0,3
"1.12.1-53","VP01",2024-12-14 08:55:23.875946,"-16.505262200000001","-71.496052700000007","C",NA,0,0,0
"1.12.5-108","VP07",2024-12-14 08:55:43.912522,"-16.4908906","-71.492502400000006","P","si",3,0,2
"1.12.1-53","VP01",2024-12-14 08:55:46.67581,"-16.506364300000001","-71.496255300000001","D",NA,0,0,0
"1.12.1-53","VP01",2024-12-14 08:56:07.39662,"-16.5063359","-71.496254899999997","D",NA,0,0,0
"1.16.4-88","VP02",2024-12-14 08:56:47.368588,"-16.5269291","-71.482541800000007","P","si",2,0,2
"1.5.4-11","VP04",2024-12-14 08:56:59.93303,"-16.471101099999998","-71.4722139","LV",NA,0,0,0
"1.5.4-11","VP04",2024-12-14 08:57:10.883347,"-16.4710921","-71.472193799999999","C",NA,0,0,0
