...1,id,redcap_survey_identifier,brigadas_timestamp,microred,name_point,n_brigada,record_id,date,form_encuesta,hora_m_complete,hora_partida_pv,hora_movil_pv,como_movil_o,hora_lleg_pv,cambio_corto,punto_inicio,name_gps,pp_zona,pf_total1_can_vac1,pf_total1_cat_inicial1,cambio_2,cambio_quien_2,cambio_hora_2,cambio_pv_2,pf_cambio_total2_can_vac,pf_cambio_total2_cat,pm_total2_can_vac,pm_total2_cat_inicial,cambio_3,cambio_quien_3,cambio_hora_3,cambio_pv_3,pf_cambio_total3_can_vac,pf_cambio_total3_cat,pm_total3_can_vac,pm_total3_cat_inicial,cambio_4,cambio_quien_4,cambio_hora_4,cambio_pv_4,cambio_total4_can_vac,cambio_total4_cat_vac,pm_total4_can_vac1,pm_total4_cat_inicial1,pm_ruta,pm_otra_zona,pm_total_can_animal,pm_total_cat_animal,pp_ruta,pp_ruta_inidi,pp_ruta_inidi_o,pp_total_v_can,pp_total_v_cat,pp_total_animales,hora_fin,observaciones,total_canes,total_cat,total_animales,latitud_1,longitud_1,latitud_2,longitud_2,latitud_3,longitud_3,latitud_4,longitud_4,pm_latitud,pm_longitud,brigadas_complete,microred.factor,form_encuesta.factor,hora_movil_pv.factor,cambio_corto.factor,punto_inicio.factor,pp_zona.factor,cambio_2.factor,cambio_quien_2.factor,cambio_pv_2.factor,cambio_3.factor,cambio_quien_3.factor,cambio_pv_3.factor,cambio_4.factor,cambio_quien_4.factor,cambio_pv_4.factor,pm_ruta.factor,pm_otra_zona.factor,pp_ruta.factor,pp_ruta_inidi.factor,brigadas_complete.factor,latitud1,longitud1,latitud2,longitud2
1499,1501,NA,2024-12-06T12:39:45Z,3,Profan 1,1,31,2024-11-30,1,07:39:00,08:13:00,1,NA,08:39:00,NA,3,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,62,18,80,12:05:00,NA,62,18,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,MR. CIUDAD DE DIOS,DETALLADO,"1, Bus",NA,Puerta Puerta,Periurbano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3. indicacion verbal (reportar en whats app),Tocar puerta por puerta,Complete,-16.292864,-71.634222,-16.312.148,-71.636.500
1503,1505,NA,2024-12-06T12:43:12Z,3,Profan 3,3,33,2024-11-30,1,07:26:00,08:10:00,1,NA,08:25:00,NA,3,56,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,54,3,57,13:00:00,se nos apago el megafono,54,3,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,MR. CIUDAD DE DIOS,DETALLADO,"1, Bus",NA,Puerta Puerta,Periurbano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3. indicacion verbal (reportar en whats app),Caminar cuadra en cuadra,Complete,-16.316402,-71.628629,NA,NA
1505,1507,NA,2024-12-06T12:44:51Z,3,Residentes Cusco,4,34,2024-11-30,1,07:45:00,08:10:00,1,NA,08:45:00,NA,3,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,55,10,65,12:40:00,falta de refrigerio,55,10,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,MR. CIUDAD DE DIOS,DETALLADO,"1, Bus",NA,Puerta Puerta,Periurbano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3. indicacion verbal (reportar en whats app),Caminar cuadra en cuadra,Complete,-16.305298,-71.637060,-16.307.213,-71.639.216
1510,1512,NA,2024-12-06T12:48:11Z,3,Utupara Primera Etapa,6,36,2024-11-30,1,07:35:00,08:11:00,1,NA,08:45:00,NA,3,78,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,54,6,60,12:26:00,el megáfono se apago,54,6,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,MR. CIUDAD DE DIOS,DETALLADO,"1, Bus",NA,Puerta Puerta,Periurbano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3. indicacion verbal (reportar en whats app),Caminar cuadra en cuadra,Complete,-16.308579,-71.638148,-16.311.029,-71.639.116
1511,1513,NA,2024-12-06T12:49:59Z,3,Mercado Santa Mónica Parte Alta El Altiplano,7,37,2024-11-30,1,08:05:00,08:11:00,1,NA,08:30:00,NA,3,80,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,38,0,38,12:50:00,NA,38,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,MR. CIUDAD DE DIOS,DETALLADO,"1, Bus",NA,Puerta Puerta,Periurbano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3. indicacion verbal (reportar en whats app),Caminar cuadra en cuadra,Complete,-16.297529,-71.628314,-16.299.848,-71.628.947
1512,1514,NA,2024-12-06T12:51:36Z,3,Comité 7 Milagro Zona 1,8,38,2024-11-30,1,08:03:00,08:10:00,1,NA,08:15:00,NA,3,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,52,22,74,13:08:00,NA,52,22,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,MR. CIUDAD DE DIOS,DETALLADO,"1, Bus",NA,Puerta Puerta,Urbano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3. indicacion verbal (reportar en whats app),Tocar puerta por puerta,Complete,-16.295537,-71.626423,-16.294.887,-71.627.660
1513,1515,NA,2024-12-06T12:52:58Z,3,Milagros Zona 3 Parte Alta,9,39,2024-11-30,1,08:00:00,08:09:00,1,NA,08:25:00,NA,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,66,11,77,13:00:00,NA,66,11,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,MR. CIUDAD DE DIOS,DETALLADO,"1, Bus",NA,Puerta Puerta,Periurbano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3. indicacion verbal (reportar en whats app),Caminar cuadra en cuadra,Complete,-16.291333,-71.632690,-16.293.301,-71.630.862
