"block_id","user_app","date","lat","long","type_house","raise_dog_house","number_dog_house","number_dog_vaccinated_2024","number_dog_vaccinated_sweep","head_or_observe_dogs_inside_house","multifamily","cluster"
"1.29.37-26","VP01","2024-12-01T08:29:21.033628","-16.314548299999998","-71.603634999999997","C",NA,NA,NA,NA,"si","no","cluster19"
"1.29.37-26","VP01","2024-12-01T08:29:28.837679","-16.314548299999998","-71.603634999999997","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.37-26","VP01","2024-12-01T08:29:36.713069","-16.314548299999998","-71.603634999999997","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.31-25","VP03","2024-12-01T08:26:39.024578","-16.309208099999999","-71.608149299999994","P","si",4,"4",4,NA,"no","cluster19"
"1.29.32-4","VP06","2024-12-01T08:30:22.437996","-16.303287000000001","-71.617482499999994","P","si",1,"0",1,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:32:21.135945","-16.308737399999998","-71.616332","R",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:32:44.035684","-16.3087394","-71.616334600000002","LV",NA,NA,NA,NA,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:32:55.168505","-16.308817699999999","-71.616461099999995","C",NA,NA,NA,NA,"no-sabe","no","cluster19"
"1.29.35-1","VP03","2024-12-01T08:33:12.392128","-16.309068","-71.607825800000001","DOG_ANOTHER_AREA",NA,1,"1",1,NA,"no","cluster19"
"1.29.35-1","VP03","2024-12-01T08:33:29.745007","-16.3090698","-71.607830100000001","DOG_ANOTHER_AREA",NA,1,"1",1,NA,"no","cluster19"
"1.29.32-2","VP06","2024-12-01T08:33:54.646197","-16.303416899999998","-71.617547999999999","P","si",1,"0",1,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:34:50.895195","-16.3132321","-71.602733900000004","P","si",1,"0",1,NA,"no","cluster19"
"1.29.37-21","VP02","2024-12-01T08:35:01.928236","-16.313370299999999","-71.602667600000004","P","si",1,"0",1,NA,"no","cluster19"
"1.29.38-11","VP05","2024-12-01T08:35:21.937672","-16.3136224","-71.609050600000003","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.38-11","VP05","2024-12-01T08:35:26.930061","-16.313950500000001","-71.609206499999999","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.38-11","VP05","2024-12-01T08:35:33.866471","-16.313941499999999","-71.609210200000007","R",NA,NA,NA,NA,"no","no","cluster19"
"1.29.38-11","VP05","2024-12-01T08:35:38.771561","-16.313937299999999","-71.609210700000006","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.38-11","VP05","2024-12-01T08:35:54.419414","-16.3138939","-71.6092017","C",NA,NA,NA,NA,"no","no","cluster19"
"1.29.36-6","VP02","2024-12-01T08:36:12.053879","-16.313358099999999","-71.602642700000004","P","si",2,"2",0,NA,"no","cluster19"
"1.29.36-6","VP02","2024-12-01T08:36:31.503816","-16.313369999999999","-71.602620900000005","P","no",NA,NA,NA,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:35:59.103163","-16.309021099999999","-71.616558400000002","P","si",1,"0",1,NA,"no","cluster19"
"1.29.36-6","VP02","2024-12-01T08:37:11.171010","-16.313365600000001","-71.602615200000002","P","si",1,"1",0,NA,"no","cluster19"
"1.29.32-4","VP06","2024-12-01T08:38:18.563398","-16.303574999999999","-71.617286699999994","P","si",1,"0",1,NA,"no","cluster19"
"1.29.32-4","VP06","2024-12-01T08:38:30.500935","-16.3037837","-71.617082400000001","P","si",1,"1",0,NA,"no","cluster19"
"1.29.52-24","VP07","2024-12-01T08:38:27.742022","-16.3133716","-71.628222300000004","P","si",1,"0",1,NA,"no","cluster19"
"1.29.46-26","VP08","2024-12-01T08:38:34.867594","-16.309165700000001","-71.616701699999993","P","no",NA,NA,NA,NA,"no","cluster19"
