"block_id";"user_app";"date";"lat";"long";"type_house";"raise_dog_house";"number_dog_house";"number_dog_vaccinated_2024";"number_dog_vaccinated_sweep";"head_or_observe_dogs_inside_house";"multifamily";"cluster"
"1.8.11-9";"VP44";"2025-06-29T09:49:42.958471";"-16.443063299999999";"-71.5208583";"C";NA;NA;NA;NA;"no-sabe";"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T09:51:38.391074";"-16.444562600000001";"-71.507111300000005";"DOG_ANOTHER_AREA";NA;2;"1";0;NA;"no";"cluster3"
"1.8.30-8";"VP31";"2025-06-29T09:51:54.350566";"-16.440602200000001";"-71.505134699999999";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T09:52:52.536912";"-16.4445218";"-71.507120299999997";"DOG_ANOTHER_AREA";NA;2;"1";0;NA;"no";"cluster3"
"1.8.6-14";"VP33";"2025-06-29T09:41:52.848515";"-16.4468234";"-71.514940699999997";"P";"si";5;"5";5;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T09:53:36.070369";"-16.444543599999999";"-71.507105100000004";"DOG_ANOTHER_AREA";NA;1;"0";0;NA;"no";"cluster3"
"1.8.32-12";"VP39";"2025-06-29T09:52:21.878258";"-16.439312300000001";"-71.520563100000004";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.32-12";"VP39";"2025-06-29T09:55:09.777173";"-16.4392797";"-71.520454900000004";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.5-19";"VP41";"2025-06-29T09:55:04.975922";"-16.453353400000001";"-71.513077899999999";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.70-5";"VP32";"2025-06-29T09:55:43.208880";"-16.431063399999999";"-71.543206100000006";"P";"si";5;"0";5;NA;"no";"cluster3"
"1.8.11-10";"VP44";"2025-06-29T09:56:14.779802";"-16.442837600000001";"-71.520870799999997";"C";NA;NA;NA;NA;"si";"no";"cluster3"
"1.8.30-1";"VP38";"2025-06-29T09:55:56.271969";"-16.4311528";"-71.512058499999995";"P";"si";1;"0";1;NA;"no";"cluster3"
"1.8.2-1";"VP35";"2025-06-29T09:56:13.248904";"-16.455948299999999";"-71.514161299999998";"DOG_ANOTHER_AREA";NA;2;"0";2;NA;"no";"cluster3"
"1.8.5-9";"VP41";"2025-06-29T09:56:48.171890";"-16.4533658";"-71.5130944";"P";"si";6;"3";3;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T09:58:42.299221";"-16.444552999999999";"-71.507109700000001";"DOG_ANOTHER_AREA";NA;1;"0";0;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T09:59:11.965028";"-16.444550400000001";"-71.507127400000002";"DOG_ANOTHER_AREA";NA;1;"0";0;NA;"no";"cluster3"
"1.8.32-12";"VP39";"2025-06-29T09:59:13.276491";"-16.439222999999998";"-71.5204691";"P";"si";1;"1";0;NA;"no";"cluster3"
"1.8.30-8";"VP31";"2025-06-29T09:59:38.252104";"-16.439979300000001";"-71.505648800000003";"P";"si";2;"2";0;NA;"no";"cluster3"
"1.8.32-12";"VP39";"2025-06-29T10:02:08.480833";"-16.4388346";"-71.520616500000003";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.6-12";"VP33";"2025-06-29T10:03:43.667327";"-16.4463869";"-71.513861500000004";"LP";NA;NA;NA;NA;NA;"no";"cluster3"
"1.8.6-12";"VP33";"2025-06-29T10:04:02.964602";"-16.446386700000001";"-71.513861700000007";"LP";NA;NA;NA;NA;NA;"no";"cluster3"
"1.8.25-2";"VP39";"2025-06-29T10:04:14.314411";"-16.438928600000001";"-71.520490699999996";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.30-1";"VP38";"2025-06-29T10:03:11.525360";"-16.431334700000001";"-71.512155699999994";"DOG_ANOTHER_AREA";NA;2;"0";1;NA;"no";"cluster3"
"1.8.32-12";"VP39";"2025-06-29T10:04:29.968904";"-16.438920299999999";"-71.520499400000006";"P";"no";NA;NA;NA;NA;"no";"cluster3"
"1.8.70-5";"VP32";"2025-06-29T10:05:09.780733";"-16.4320752";"-71.542889900000006";"P";"si";4;"0";4;NA;"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:00:29.451831";"-16.444535699999999";"-71.507119500000002";"DOG_ANOTHER_AREA";NA;1;"0";0;NA;"no";"cluster3"
"1.8.30-1";"VP38";"2025-06-29T10:06:49.652788";"-16.4312848";"-71.511926799999998";"C";NA;NA;NA;NA;"no";"no";"cluster3"
"1.8.12-51";"VP42";"2025-06-29T10:07:10.858660";"-16.444522899999999";"-71.507118700000007";"DOG_ANOTHER_AREA";NA;1;"0";0;NA;"no";"cluster3"
"1.8.70-4";"VP32";"2025-06-29T10:08:41.509858";"-16.432278199999999";"-71.542990900000007";"V";NA;NA;NA;NA;"si";"no";"cluster3"
"1.8.30-1";"VP38";"2025-06-29T10:09:37.733590";"-16.431416200000001";"-71.511807500000003";"C";NA;NA;NA;NA;"no";"no";"cluster3"
