"DATE";"CLUSTER"
"2024-12-01T08:56:13.840512";"cluster19"
"2024-12-01T08:56:02.960088";"cluster19"
"2024-12-01T08:57:05.743163";"cluster19"
"2024-12-01T08:57:10.065002";"cluster19"
"2024-12-01T08:57:18.398771";"cluster19"
"2024-12-01T08:57:36.832129";"cluster19"
"2024-12-01T08:57:48.523980";"cluster19"
"2024-12-01T09:00:10.598876";"cluster19"
"2024-12-01T09:00:20.289346";"cluster19"
"2024-12-01T09:00:25.932203";"cluster19"
"2024-12-01T09:00:53.865347";"cluster19"
"2024-12-01T09:01:37.259772";"cluster19"
"2024-12-01T09:01:55.407124";"cluster19"
"2024-12-01T09:02:00.726348";"cluster19"
"2024-12-01T09:02:30.043546";"cluster19"
"2024-12-01T09:02:58.959184";"cluster19"
"2024-12-01T09:03:09.487428";"cluster19"
"2024-12-01T09:04:05.569371";"cluster19"
"2024-12-01T09:04:13.786160";"cluster19"
"2024-12-01T09:04:46.746622";"cluster19"
"2024-12-01T09:05:04.164936";"cluster19"
"2024-12-01T09:04:04.908424";"cluster19"
"2024-12-01T09:05:59.856935";"cluster19"
"2024-12-01T09:06:03.381910";"cluster19"
"2024-12-01T09:06:21.569579";"cluster19"
"2024-12-01T09:06:35.151085";"cluster19"
"2024-12-01T09:06:18.992068";"cluster19"
"2024-12-01T09:06:50.413934";"cluster19"
"2024-12-01T09:07:45.951789";"cluster19"
"2024-12-01T09:08:10.547175";"cluster19"
"2024-12-01T09:08:09.828410";"cluster19"
"2024-12-01T09:08:09.921055";"cluster19"
"2024-12-01T09:08:15.679658";"cluster19"
"2024-12-01T09:08:24.604002";"cluster19"
"2024-12-01T09:09:48.512059";"cluster19"
"2024-12-01T09:10:04.066821";"cluster19"
"2024-12-01T09:10:11.934853";"cluster19"
"2024-12-01T09:10:22.805888";"cluster19"
"2024-12-01T09:10:30.618644";"cluster19"
"2024-12-01T09:11:17.613127";"cluster19"
"2024-12-01T09:11:50.962626";"cluster19"
"2024-12-01T09:13:11.091984";"cluster19"
"2024-12-01T09:14:31.783732";"cluster19"
"2024-12-01T09:15:54.448071";"cluster19"
"2024-12-01T09:06:49.384396";"cluster19"
"2024-12-01T09:16:28.081280";"cluster19"
"2024-12-01T09:17:03.687466";"cluster19"
"2024-12-01T09:17:11.619179";"cluster19"
"2024-12-01T09:17:15.069622";"cluster19"
"2024-12-01T09:17:23.285446";"cluster19"
"2024-12-01T09:16:32.311240";"cluster19"
"2024-12-01T09:17:40.888269";"cluster19"
"2024-12-01T09:17:49.492527";"cluster19"
"2024-12-01T09:18:08.356378";"cluster19"
"2024-12-01T09:18:42.017073";"cluster19"
"2024-12-01T09:18:47.237677";"cluster19"
"2024-12-01T09:18:55.409081";"cluster19"
"2024-12-01T09:19:42.984017";"cluster19"
"2024-12-01T09:19:46.482615";"cluster19"
"2024-12-01T09:19:52.481039";"cluster19"
"2024-12-01T09:19:51.246996";"cluster19"
"2024-12-01T09:19:55.434388";"cluster19"
"2024-12-01T09:20:47.979586";"cluster19"
"2024-12-01T09:20:53.368496";"cluster19"
"2024-12-01T09:21:04.878025";"cluster19"
"2024-12-01T09:21:15.074977";"cluster19"
"2024-12-01T09:21:33.668109";"cluster19"
"2024-12-01T09:21:59.223826";"cluster19"
"2024-12-01T09:22:04.473655";"cluster19"
"2024-12-01T09:22:30.025878";"cluster19"
"2024-12-01T09:22:25.947583";"cluster19"
"2024-12-01T09:21:03.072195";"cluster19"
"2024-12-01T09:24:02.079274";"cluster19"
"2024-12-01T09:24:33.388817";"cluster19"
"2024-12-01T09:25:12.060778";"cluster19"
"2024-12-01T09:25:28.990264";"cluster19"
"2024-12-01T09:25:42.331644";"cluster19"
"2024-12-01T09:25:37.637940";"cluster19"
"2024-12-01T09:25:38.009202";"cluster19"
"2024-12-01T09:26:00.124715";"cluster19"
"2024-12-01T09:26:03.812347";"cluster19"
"2024-12-01T09:26:09.658067";"cluster19"
"2024-12-01T09:26:13.115999";"cluster19"
"2024-12-01T09:26:17.509783";"cluster19"
"2024-12-01T09:26:22.020891";"cluster19"
"2024-12-01T09:26:28.223628";"cluster19"
"2024-12-01T09:26:33.692733";"cluster19"
"2024-12-01T09:26:41.947597";"cluster19"
"2024-12-01T09:26:35.993754";"cluster19"
"2024-12-01T09:26:47.538779";"cluster19"
"2024-12-01T09:26:58.870856";"cluster19"
"2024-12-01T09:26:40.621282";"cluster19"
"2024-12-01T09:27:18.941853";"cluster19"
"2024-12-01T09:27:27.247371";"cluster19"
"2024-12-01T09:27:35.986339";"cluster19"
"2024-12-01T09:27:41.834374";"cluster19"
"2024-12-01T09:28:26.170163";"cluster19"
"2024-12-01T09:28:50.358361";"cluster19"
"2024-12-01T09:28:57.256287";"cluster19"
"2024-12-01T09:29:07.662996";"cluster19"
"2024-12-01T09:29:12.470706";"cluster19"
"2024-12-01T09:29:16.295905";"cluster19"
"2024-12-01T09:29:32.143984";"cluster19"
"2024-12-01T09:30:05.258401";"cluster19"
"2024-12-01T09:30:50.851376";"cluster19"
"2024-12-01T09:32:10.065749";"cluster19"
"2024-12-01T09:32:37.382847";"cluster19"
"2024-12-01T09:32:45.117224";"cluster19"
"2024-12-01T09:32:47.690651";"cluster19"
"2024-12-01T09:32:51.103114";"cluster19"
"2024-12-01T09:32:56.533755";"cluster19"
